source_date,stable_usage_key,liturgical_kind,celebration_id,mass_form,season,week,weekday,sunday_cycle,weekday_cycle,nigeria_calendar_title,primary_reference,primary_response,leaf_reference,leaf_response,gallery_reference,gallery_response,douay_rheims_full_text,rsvce_full_text,comparison_status
2024-06-24,NG|celebration|nativity_of_saint_john_the_baptist|day||,celebration,nativity_of_saint_john_the_baptist,day,,,,,,The Nativity of Saint John the Baptist Solemnity,,,"ps139:1-3,13-14,15(r.14a)",I thank you who wonderfully made me.,"ps139:1b-3,13-14ab,14c-15","I praise you, for I am wonderfully made.","I praise you, for I am wonderfully made.

1 Lord, thou hast proved me, and known me:
2 Thou hast know my sitting down, and my rising up.
3 Thou hast understood my thoughts afar off: my path and my line thou hast searched out.
13 For thou hast possessed my reins: thou hast protected me from my mother’s womb.
14ab I will praise thee, for thou art fearfully magnified: wonderful are thy works.
14c My soul knoweth right well.
15 My bone is not hidden from thee, which thou hast made in secret: and my substance in the lower parts of the earth.","I thank you who wonderfully made me.

O LORD, thou hast searched me and known me! Thou knowest when I sit down and when I rise up; thou discernest my thoughts from afar. Thou searchest out my path and my lying down, and art acquainted with all my ways.

For thou didst form my inward parts, thou didst knit me together in my mother's womb. I praise thee, for thou art fearful and wonderful.  Wonderful are thy works! Thou knowest me right well;

I praise thee, for thou art fearful and wonderful.  Wonderful are thy works! Thou knowest me right well; my frame was not hidden from thee,when I was being made in secret, intricately wrought in the depths of the earth.",same_numbered_verses_reference_variant
2024-06-25,NG|temporal|ordinary-time|12|tuesday||II,temporal,,,ordinary-time,12,tuesday,,II,Tuesday of week 12 in Ordinary Time,,,"ps48:2-3ab,3cd-4,10-11(r.9cd)",God establishes his city forever.,"ps48:2-3ab,3cd-4,10-11",God upholds his city for ever.,"God upholds his city for ever.

2 Great is the Lord, and exceedingly to be praised in the city of our God, in his holy mountain.
3ab With the joy of the whole earth is mount Sion founded.
3cd On the sides of the north, the city of the great king.
4 In her houses shall God be known, when he shall protect her.
10 We have received thy mercy, O God, in the midst of thy temple.
11 According to thy name, O God, so also is thy praise unto the ends of the earth: thy right hand is full of justice.","God establishes his city forever.

Great is the LORDand greatly to be praised in the city of our God! His holy mountain, beautiful in elevation,is the joy of all the earth,Mount Zion, in the far north, the city of the great King.

beautiful in elevation,is the joy of all the earth,Mount Zion, in the far north, the city of the great King. Within her citadels God has shown himself a sure defense.

We have thought on thy steadfast love, O God, in the midst of thy temple. As thy name, O God, so thy praise reaches to the ends of the earth. Thy right hand is filled with victory;",reference_match_translation_response
2024-06-26,NG|temporal|ordinary-time|12|wednesday||II,temporal,,,ordinary-time,12,wednesday,,II,"Wednesday of week 12 in Ordinary Time or St Josémaria Escrivá de Balaguer, Priest",,,"ps119:33,34,35,36,37,40(r.33a)","Lord, teach me the way of your statutes.","ps119:33,34,36,37,40","Teach me the way of your decrees, O Lord.","Teach me the way of your decrees, O Lord.

33 Set before me for a law the way of thy justifications, O Lord: and I will always seek after it.
34 Give me understanding, and I will search thy law; and I will keep it with my whole heart.
36 Incline my heart into thy testimonies and not to covetousness.
37 Turn away my eyes that they may not behold vanity: quicken me in thy way.
40 Behold I have longed after thy precepts: quicken me in thy justice.","Lord, teach me the way of your statutes.

Teach me, O LORD, the way of thy statutes; and I will keep it to the end.

Give me understanding,that I may keep thy law and observe it with my whole heart.

Incline my heart to thy testimonies, and not to gain!

Turn my eyes from looking at vanities; and give me life in thy ways.

Behold, I long for thy precepts; in thy righteousness give me life!",reference_conflict
2024-06-27,NG|temporal|ordinary-time|12|thursday||II,temporal,,,ordinary-time,12,thursday,,II,"Thursday of week 12 in Ordinary Time or Saint Cyril of Alexandria, Bishop, Doctor",,,"ps79:1-2,3-5,8,9(r.9bc)","For the sake of the glory of your name, free us O Lord.","ps79:1b-2,3-5,8,9","For the glory of your name, O Lord, deliver us.","For the glory of your name, O Lord, deliver us.

1b O God, the heathens are come into thy inheritance, they have defiled thy holy temple: they have made Jerusalem as a place to keep fruit.
2 They have given the dead bodies of thy servants to be meat for the fowls of the air: the flesh of thy saints for the beasts of the earth.
3 They have poured out their blood as water, round about Jerusalem and there was none to bury them.
4 We are become a reproach to our neighbours: a scorn and derision to them that are round about us.
5 How long, O Lord, wilt thou be angry for ever: shall thy zeal be kindled like a fire?
8 Remember not our former iniquities: let thy mercies speedily prevent us, for we are become exceeding poor.
9 Help us, O God, our saviour: and for the glory of thy name, O Lord, deliver us: and forgive us our sins for thy name’s sake:","For the sake of the glory of your name, free us O Lord.

O God, the heathen have come into thy inheritance;they have defiled thy holy temple; they have laid Jerusalem in ruins. They have given the bodies of thy servantsto the birds of the air for food, the flesh of thy saints to the beasts of the earth.

They have poured out their blood like water round about Jerusalem, and there was none to bury them. We have become a taunt to our neighbors, mocked and derided by those round about us. How long, O LORD? Wilt thou be angry for ever? Will thy jealous wrath burn like fire?

Do not remember against us the iniquities of our forefathers;let thy compassion come speedily to meet us, for we are brought very low.

Help us, O God of our salvation,for the glory of thy name; deliver us, and forgive our sins, for thy name's sake!",same_numbered_verses_reference_variant
2024-06-28,NG|temporal|ordinary-time|12|friday||II,temporal,,,ordinary-time,12,friday,,II,"Saint Irenaeus, Bishop, Doctor, Martyr",,,"ps137:1-2,3,4-5,6(r.6abc)",O let my tongue cleave to my palate if I remember you not!,"ps137:1-2,3,4-5,6","Let my tongue be silenced, if I ever forget you!","Let my tongue be silenced, if I ever forget you!

1 Upon the rivers of Babylon, there we sat and wept: when we remembered Sion:
2 On the willows in the midst thereof we hung up our instruments.
3 For there they that led us into captivity required of us the words of songs. And they that carried us away, said: Sing ye to us a hymn of the songs of Sion.
4 How shall we sing the song of the Lord in a strange land?
5 If I forget thee, O Jerusalem, let my right hand be forgotten.
6 Let my tongue cleave to my jaws, if I do not remember thee: If I make not Jerusalem the beginning of my joy.","O let my tongue cleave to my palate if I remember you not!

By the waters of Babylon, there we sat down and wept, when we remembered Zion. On the willows there we hung up our lyres.

For there our captors required of us songs,and our tormentors, mirth, saying, ""Sing us one of the songs of Zion!""

How shall we sing the LORD's song in a foreign land? If I forget you, O Jerusalem, let my right hand wither!

Let my tongue cleave to the roof of my mouth,if I do not remember you, if I do not set Jerusalem above my highest joy!",reference_match_translation_response
2024-06-29,NG|celebration|saints_peter_and_paul_apostles|day||,celebration,saints_peter_and_paul_apostles,day,,,,,,"Saints Peter and Paul, Apostles Solemnity",,,"ps34:2-3,4-5,6-7,8-9",From all my terrors he set me free,"ps34:2-3,4-5,6-7,8-9",The angel of the Lord will rescue those who fear him.,"The angel of the Lord will rescue those who fear him.

2 I will bless the Lord at all times, his praise shall be always in my mouth.
3 In the Lord shall my soul be praised: let the meek hear and rejoice.
4 O magnify the Lord with me; and let us extol his name together.
5 I sought the Lord, and he heard me; and he delivered me from all my troubles.
6 Come ye to him and be enlightened: and your faces shall not be confounded.
7 This poor man cried, and the Lord heard him: and saved him out of all his troubles.
8 The angel of the Lord shall encamp round about them that fear him: and shall deliver them.
9 O taste, and see that the Lord is sweet: blessed is the man that hopeth in him.","From all my terrors he set me free

I will bless the LORD at all times; his praise shall continually be in my mouth. My soul makes its boast in the LORD; let the afflicted hear and be glad.

O magnify the LORD with me, and let us exalt his name together! I sought the LORD, and he answered me, and delivered me from all my fears.

Look to him, and be radiant; so your faces shall never be ashamed. This poor man cried, and the LORD heard him, and saved him out of all his troubles.

The angel of the LORD encamps around those who fear him, and delivers them. O taste and see that the LORD is good! Happy is the man who takes refuge in him!",reference_match_translation_response
2024-06-30,NG|temporal|ordinary-time|13|sunday|B|,temporal,,,ordinary-time,13,sunday,B,,13th Sunday in Ordinary Time,,,"ps30:2,4,5-6,11-12a,13b(r.2a)","I will extol you, O Lord, for you have raised me up","ps30:2,4,5-6,11,12,13","I will praise you, Lord, for you have rescued me.","I will praise you, Lord, for you have rescued me.

2 I will extol thee, O Lord, for thou hast upheld me: and hast not made my enemies to rejoice over me.
4 Thou hast brought forth, O Lord, my soul from hell: thou hast saved me from them that go down into the pit.
5 Sing to the Lord, O ye his saints: and give praise to the memory of his holiness.
6 For wrath is in his indignation; and life in his good will. In the evening weeping shall have place, and in the morning gladness.
11 The Lord hath heard, and hath had mercy on me: the Lord became my helper.
12 Thou hast turned for me my mourning into joy: thou hast cut my sackcloth, and hast compassed me with gladness:
13 To the end that my glory may sing to thee, and I may not regret: O Lord my God, I will give praise to thee for ever.","I will extol you, O Lord, for you have raised me up

I will extol thee, O LORD,for thou hast drawn me up, and hast not let my foes rejoice over me.

O LORD, thou hast brought up my soul from Sheol, restored me to life from among those gone down to the Pit.

Sing praises to the LORD, O you his saints, and give thanks to his holy name. For his anger is but for a moment,and his favor is for a lifetime.Weeping may tarry for the night, but joy comes with the morning.

Hear, O LORD, and be gracious to me! O LORD, be thou my helper!""

Thou hast turned for me my mourning into dancing; thou hast loosed my sackcloth and girded me with gladness,

that my soul may praise thee and not be silent. O LORD my God, I will give thanks to thee for ever.",same_numbered_verses_reference_variant
2024-07-01,NG|temporal|ordinary-time|13|monday||II,temporal,,,ordinary-time,13,monday,,II,Monday of week 13 in Ordinary Time,,,"ps50:16bc-17,18-20,21,22-23(r.22a)","Mark this, you who are forgetful of God","ps50:16bc-17,18-19,20-21,22-23","Remember this, you who never think of God.","Remember this, you who never think of God.

16bc Why dost thou declare my justices, and take my covenant in thy mouth?
17 Seeing thou hast hated discipline: and hast cast my words behind thee.
18 If thou didst see a thief thou didst run with him: and with adulterers thou hast been a partaker.
19 Thy mouth hath abounded with evil, and thy tongue framed deceits.
20 Sitting thou didst speak against thy brother, and didst lay a scandal against thy mother’s son:
21 These things hast thou done, and I was silent. Thou thoughtest unjustly that I should be like to thee: but I will reprove thee, and set before thy face.
22 Understand these things, you that forget God; lest he snatch you away, and there be none to deliver you.
23 The sacrifice of praise shall glorify me: and there is the way by which I will shew him the salvation of God.","Mark this, you who are forgetful of God

But to the wicked God says:""What right have you to recite my statutes, or take my covenant on your lips? For you hate discipline, and you cast my words behind you.

If you see a thief, you are a friend of his; and you keep company with adulterers. ""You give your mouth free rein for evil, and your tongue frames deceit.

You sit and speak against your brother; you slander your own mother's son. These things you have done and I have been silent;you thought that I was one like yourself. But now I rebuke you, and lay the charge before you.

""Mark this, then, you who forget God, lest I rend, and there be none to deliver! He who brings thanksgiving as his sacrifice honors me; to him who orders his way aright I will show the salvation of God!""",same_numbered_verses_reference_variant
2024-07-02,NG|temporal|ordinary-time|13|tuesday||II,temporal,,,ordinary-time,13,tuesday,,II,Tuesday of week 13 in Ordinary Time,,,"ps5:5-6,7,8(r.9a)","Lead me, Lord, in your justice.","ps5:4b-6,7,8","Lead me in your justice, Lord.","Lead me in your justice, Lord.

4b O Lord, in the morning thou shalt hear my voice.
5 In the morning I will stand before thee, and will see: because thou art not a God that willest iniquity.
6 Neither shall the wicked dwell near thee: nor shall the unjust abide before thy eyes.
7 Thou hatest all the workers of iniquity: Thou wilt destroy all that speak a lie. The bloody and the deceitful man the Lord will abhor.
8 But as for me in the multitude of thy mercy, I will come into thy house; I will worship towards thy holy temple, in thy fear.","Lead me, Lord, in your justice.

O LORD, in the morning thou dost hear my voice; in the morning I prepare a sacrifice for thee, and watch. For thou art not a God who delights in wickedness; evil may not sojourn with thee. The boastful may not stand before thy eyes; thou hatest all evildoers.

Thou destroyest those who speak lies; the LORD abhors bloodthirsty and deceitful men.

But I through the abundance of thy steadfast love will enter thy house, I will worship toward thy holy temple in the fear of thee.",reference_conflict
2024-07-03,NG|celebration|thomas_apostle|day||,celebration,thomas_apostle,day,,,,,,"Saint Thomas, Apostle Feast",,,"ps116:12-13,15,16bc,17-18(r.9)",I will walk in the presence of the Lord in the land of the living.,"ps117:1bc,2",Go out to all the world and tell the Good News.,"Go out to all the world and tell the Good News.

1bc O praise the Lord, all ye nations: praise him, all ye people.
2 For his mercy is confirmed upon us: and the truth of the Lord remaineth for ever.","I will walk in the presence of the Lord in the land of the living.

Praise the LORD, all nations! Extol him, all peoples!

For great is his steadfast love toward us;and the faithfulness of the LORD endures for ever. Praise the LORD!",reference_conflict
2024-07-04,NG|temporal|ordinary-time|13|thursday||II,temporal,,,ordinary-time,13,thursday,,II,Thursday of week 13 in Ordinary Time or Saint Elizabeth of Portugal,,,"ps19:8,9,10,11(r.10cd)",". The judgments of the Lord are true; they are, all of them, just","ps19:8,9,10,11","The judgments of the Lord are true, and all of them are just.","The judgments of the Lord are true, and all of them are just.

8 The law of the Lord is unspotted, converting souls: the testimony of the Lord is faithful, giving wisdom to little ones.
9 The justices of the Lord are right, rejoicing hearts: the commandment of the Lord is lightsome, enlightening the eyes.
10 The fear of the Lord is holy, enduring for ever and ever: the judgments of the Lord are true, justified in themselves.
11 More to be desired than gold and many precious stones: and sweeter than honey and the honeycomb.",". The judgments of the Lord are true; they are, all of them, just

The law of the LORD is perfect,reviving the soul; the testimony of the LORD is sure, making wise the simple;

the precepts of the LORD are right,rejoicing the heart; the commandment of the LORD is pure, enlightening the eyes;

the fear of the LORD is clean, enduring for ever;the ordinances of the LORD are true, and righteous altogether.

More to be desired are they than gold,even much fine gold; sweeter also than honey and drippings of the honeycomb.",reference_match_translation_response
2024-07-05,NG|temporal|ordinary-time|13|friday||II,temporal,,,ordinary-time,13,friday,,II,"Friday of week 13 in Ordinary Time or Saint Antony Mary Zaccaria, Priest",,,"ps119:2,10,20,30,40,131(r.matthew4:4)","Man shall not live by bread alone, but by every word that comes from the mouth of God.","ps119:2,10,20,30,40,131","One does not live by bread alone, but by every word that comes from the mouth of God.","One does not live by bread alone, but by every word that comes from the mouth of God.

2 Blessed are they who search his testimonies: that seek him with their whole heart.
10 With my whole heart have I sought after thee: let me not stray from thy commandments.
20 My soul hath coveted to long for thy justifications, at all times.
30 I have chosen the way of truth: thy judgments I have not forgotten.
40 Behold I have longed after thy precepts: quicken me in thy justice.
131 I opened my mouth and panted: because I longed for thy commandments.","Man shall not live by bread alone, but by every word that comes from the mouth of God.

Blessed are those who keep his testimonies, who seek him with their whole heart,

With my whole heart I seek thee; let me not wander from thy commandments!

My soul is consumed with longing for thy ordinances at all times.

I have chosen the way of faithfulness, I set thy ordinances before me.

Behold, I long for thy precepts; in thy righteousness give me life!

With open mouth I pant, because I long for thy commandments.",reference_match_translation_response
2024-07-06,NG|temporal|ordinary-time|13|saturday||II,temporal,,,ordinary-time,13,saturday,,II,"Saturday of week 13 in Ordinary Time or Saint Maria Goretti, Virgin, Martyr or Saturday memorial of the Blessed Virgin Mary",,,"ps85:9,11-12,13-14",The Lord speaks of peace for his people.,"ps85:9ab,10,11-12,13-14",The Lord speaks of peace to his people.,"The Lord speaks of peace to his people.

9ab I will hear what the Lord God will speak in me: for he will speak peace unto his people.
10 Surely his salvation is near to them that fear him: that glory may dwell in our land.
11 Mercy and truth have met each other: justice and peace have kissed.
12 Truth is sprung out of the earth: and justice hath looked down from heaven.
13 For the Lord will give goodness: and our earth shall yield her fruit.
14 Justice shall walk before him: and shall set his steps in the way.","The Lord speaks of peace for his people.

Let me hear what God the LORD will speak,for he will speak peace to his people, to his saints, to those who turn to him in their hearts.

Surely his salvation is at hand for those who fear him, that glory may dwell in our land.

Steadfast love and faithfulness will meet; righteousness and peace will kiss each other. Faithfulness will spring up from the ground, and righteousness will look down from the sky.

Yea, the LORD will give what is good, and our land will yield its increase. Righteousness will go before him, and make his footsteps a way.",reference_conflict
2024-07-07,NG|temporal|ordinary-time|14|sunday|B|,temporal,,,ordinary-time,14,sunday,B,,14th Sunday in Ordinary Time,,,"ps123:1-2ab,2cdef,3-4(r.2ef)","Our eyes are on the Lord our God, till he show us his mercy.","ps123:1-2,2,3-4","Our eyes are fixed on the Lord, pleading for his mercy.","Our eyes are fixed on the Lord, pleading for his mercy.

1 To thee have I lifted up my eyes, who dwellest in heaven.
2a Behold as the eyes of the servants are on the hands of their masters.
2bcd As the eyes of the handmaid are on the hands of her mistress: so are our eyes unto the Lord our God, until he have mercy on us.
3 Have mercy on us, O Lord, have mercy on us: for we are greatly filled with contempt.
4 For our soul is greatly filled: we are a reproach to the rich, and contempt to the proud.","Our eyes are on the Lord our God, till he show us his mercy.

To thee I lift up my eyes, O thou who art enthroned in the heavens! Behold, as the eyes of servants look to the hand of their master,as the eyes of a maid to the hand of her mistress,so our eyes look to the LORD our God, till he have mercy upon us.

Behold, as the eyes of servants look to the hand of their master,as the eyes of a maid to the hand of her mistress,so our eyes look to the LORD our God, till he have mercy upon us.

Have mercy upon us, O LORD, have mercy upon us, for we have had more than enough of contempt. Too long our soul has been sated with the scornof those who are at ease, the contempt of the proud.",same_numbered_verses_reference_variant
2024-07-08,NG|temporal|ordinary-time|14|monday||II,temporal,,,ordinary-time,14,monday,,II,Monday of week 14 in Ordinary Time,,,"ps145:2-3,4-5,6-7,8-9(r.8a)",The Lord is kind and full of compassion,"ps145:2-3,4-5,6-7,8-9",The Lord is gracious and merciful.,"The Lord is gracious and merciful.

2 Every day I will bless thee: and I will praise thy name for ever; yea, for ever and ever.
3 Great is the Lord, and greatly to be praised: and of his greatness there is no end.
4 Generation and generation shall praise thy works: and they shall declare thy power.
5 They shall speak of the magnificence of the glory of thy holiness: and shall tell thy wondrous works.
6 And they shall speak of the might of thy terrible acts: and shall declare thy greatness.
7 They shall publish the memory of the abundance of thy sweetness: and shall rejoice in thy justice.
8 The Lord is gracious and merciful: patient and plenteous in mercy.
9 The Lord is sweet to all: and his tender mercies are over all his works.","The Lord is kind and full of compassion

Every day I will bless thee, and praise thy name for ever and ever. Great is the LORD, and greatly to be praised, and his greatness is unsearchable.

One generation shall laud thy works to another, and shall declare thy mighty acts. On the glorious splendor of thy majesty, and on thy wondrous works, I will meditate.

Men shall proclaim the might of thy terrible acts, and I will declare thy greatness. They shall pour forth the fame of thy abundant goodness, and shall sing aloud of thy righteousness.

The LORD is gracious and merciful, slow to anger and abounding in steadfast love. The LORD is good to all, and his compassion is over all that he has made.",reference_match_translation_response
2024-07-09,NG|temporal|ordinary-time|14|tuesday||II,temporal,,,ordinary-time,14,tuesday,,II,"Tuesday of week 14 in Ordinary Time or Saint Augustine Zhao Rong and his Companions, Martyrs",,,"ps115:3-4,5-6,7ab,8,9-10(r.9a)","House of Israel, trust in the Lord","ps115:3-4,5-6,7ab-8,9-10",The house of Israel trusts in the Lord.,"The house of Israel trusts in the Lord.

or
3 But our God is in heaven: he hath done all things whatsoever he would.
4 The idols of the gentiles are silver and gold, the works of the hands of men.
or
5 They have mouths and speak not: they have eyes and see not.
6 They have ears and hear not: they have noses and smell not.
or
7ab They have hands and feel not: they have feet and walk not.
8 Let them that make them become like unto them: and all such as trust in them.
or
9 The house of Israel hath hoped in the Lord: he is their helper and their protector.
10 The house of Aaron hath hoped in the Lord: he is their helper and their protector.
or","House of Israel, trust in the Lord

Our God is in the heavens; he does whatever he pleases. Their idols are silver and gold, the work of men's hands.

They have mouths, but do not speak; eyes, but do not see. They have ears, but do not hear; noses, but do not smell.

They have hands,but do not feel; feet, but do not walk; and they do not make a sound in their throat. Those who make them are like them; so are all who trust in them.

O Israel, trust in the LORD! He is their help and their shield. O house of Aaron,put your trust in the LORD! He is their help and their shield.",same_numbered_verses_reference_variant
2024-07-10,NG|temporal|ordinary-time|14|wednesday||II,temporal,,,ordinary-time,14,wednesday,,II,Wednesday of week 14 in Ordinary Time,,,"ps105:2-3,4-5,6-7(r.4b)",Constantly seek the Lord’s face.,"ps105:2-3,4-5,6-7",Seek always the face of the Lord.,"Seek always the face of the Lord.

or
2 Sing to him, yea sing praises to him: relate all his wondrous works.
3 Glory ye in his holy name: let the heart of them rejoice that seek the Lord.
or
4 Seek ye the Lord, and be strengthened: seek his face evermore.
5 Remember his marvellous works which he hath done; his wonders, and the judgments of his mouth.
or
6 O ye seed of Abraham his servant; ye sons of Jacob his chosen.
7 He is the Lord our God: his judgments are in all the earth.
or","Constantly seek the Lord’s face.

Sing to him, sing praises to him, tell of all his wonderful works! Glory in his holy name; let the hearts of those who seek the LORD rejoice!

Seek the LORD and his strength, seek his presence continually! Remember the wonderful works that he has done, his miracles, and the judgments he uttered,

O offspring of Abraham his servant, sons of Jacob, his chosen ones! He is the LORD our God; his judgments are in all the earth.",reference_match_translation_response
2024-07-11,NG|temporal|ordinary-time|14|thursday||II,temporal,,,ordinary-time,14,thursday,,II,"Saint Benedict, Abbot",,,"ps80:2ac,3b,15-16(r.4b)","Let your face shine on us, Lord, and we shall be saved.","ps80:2ac,3b,15-16","Let us see your face, Lord, and we shall be saved.","Let us see your face, Lord, and we shall be saved.

2ac Give ear, O thou that rulest Israel: Thou that sittest upon the cherubims, shine forth
3b Stir up thy might.
15 Turn again, O God of hosts, look down from heaven, and see, and visit this vineyard:
16 And perfect the same which thy right hand hath planted: and upon the son of man whom thou hast confirmed for thyself.","Let your face shine on us, Lord, and we shall be saved.

Give ear, O Shepherd of Israel,thou who leadest Joseph like a flock! Thou who art enthroned upon the cherubim, shine forth

before Ephraim and Benjamin and Manasseh! Stir up thy might, and come to save us!

Turn again, O God of hosts! Look down from heaven, and see; have regard for this vine, the stock which thy right hand planted.",reference_match_translation_response
2024-07-12,NG|temporal|ordinary-time|14|friday||II,temporal,,,ordinary-time,14,friday,,II,Friday of week 14 in Ordinary Time,,,"ps51:3-4,8-9,12-13,14,17(r.17b)",My mouth shall proclaim your praise,"ps51:3-4,8-9,12-13,14,17",My mouth will declare your praise.,"My mouth will declare your praise.

3 Have mercy on me, O God, according to thy great mercy. And according to the multitude of thy tender mercies blot out my iniquity.
4 Wash me yet more from my iniquity, and cleanse me from my sin.
8 For behold thou hast loved truth: the uncertain and hidden things of thy wisdom thou hast made manifest to me.
9 Thou shalt sprinkle me with hyssop, and I shall be cleansed: thou shalt wash me, and I shall be made whiter than snow.
12 Create a clean heart in me, O God: and renew a right spirit within my bowels.
13 Cast me not away from thy face; and take not thy holy spirit from me.
14 Restore unto me the joy of thy salvation, and strengthen me with a perfect spirit.
17 O Lord, thou wilt open my lips: and my mouth shall declare thy praise.","My mouth shall proclaim your praise

Have mercy on me,O God, according to thy steadfast love; according to thy abundant mercy blot out my transgressions. Wash me thoroughly from my iniquity, and cleanse me from my sin!

Behold, thou desirest truth in the inward being; therefore teach me wisdom in my secret heart. Purge me with hyssop, and I shall be clean; wash me, and I shall be whiter than snow.

Create in me a clean heart, O God, and put a new and right spirit within me. Cast me not away from thy presence, and take not thy holy Spirit from me.

Restore to me the joy of thy salvation, and uphold me with a willing spirit.

O Lord, open thou my lips, and my mouth shall show forth thy praise.",reference_match_translation_response
2024-07-13,NG|temporal|ordinary-time|14|saturday||II,temporal,,,ordinary-time,14,saturday,,II,Saturday of week 14 in Ordinary Time or Saint Henry or Saturday memorial of the Blessed Virgin Mary,,,"ps93:1ab,1cd-2,5(r.1a)","The Lord is king, with majesty enrobed","ps93:1ab,1cd-2,5",The Lord is king; he is robed in majesty.,"The Lord is king; he is robed in majesty.

1ab The Lord hath reigned, he is clothed with beauty: the Lord is clothed with strength, and hath girded himself.
1cd For he hath established the world which shall not be moved.
2 Thy throne is prepared from of old: thou art from everlasting.
5 Thy testimonies are become exceedingly credible: holiness becometh thy house, O Lord, unto length of days.","The Lord is king, with majesty enrobed

The LORD reigns; he is robed in majesty;the LORD is robed, he is girded with strength. Yea, the world is established; it shall never be moved;

The LORD reigns; he is robed in majesty;the LORD is robed, he is girded with strength. Yea, the world is established; it shall never be moved; thy throne is established from of old; thou art from everlasting.

Thy decrees are very sure; holiness befits thy house, O LORD, for evermore.",reference_match_translation_response
2024-07-14,NG|temporal|ordinary-time|15|sunday|B|,temporal,,,ordinary-time,15,sunday,B,,15th Sunday in Ordinary Time,,,"ps85:9ab,10,11-12,13-14(r.8)","Let us see, O Lord, your mercy, and grant us your salvation.","ps85:9-10,11-12,13-14","Lord, let us see your kindness, and grant us your salvation.","Lord, let us see your kindness, and grant us your salvation.

9 I will hear what the Lord God will speak in me: for he will speak peace unto his people: And unto his saints: and unto them that are converted to the heart.
10 Surely his salvation is near to them that fear him: that glory may dwell in our land.
11 Mercy and truth have met each other: justice and peace have kissed.
12 Truth is sprung out of the earth: and justice hath looked down from heaven.
13 For the Lord will give goodness: and our earth shall yield her fruit.
14 Justice shall walk before him: and shall set his steps in the way.","Let us see, O Lord, your mercy, and grant us your salvation.

Let me hear what God the LORD will speak,for he will speak peace to his people, to his saints, to those who turn to him in their hearts. Surely his salvation is at hand for those who fear him, that glory may dwell in our land.

Steadfast love and faithfulness will meet; righteousness and peace will kiss each other. Faithfulness will spring up from the ground, and righteousness will look down from the sky.

Yea, the LORD will give what is good, and our land will yield its increase. Righteousness will go before him, and make his footsteps a way.",same_numbered_verses_reference_variant
2024-07-15,NG|temporal|ordinary-time|15|monday||II,temporal,,,ordinary-time,15,monday,,II,"Saint Bonaventure, Bishop, Doctor",,,"ps50:8-9,16bc-17,21,23(r.23bc)","To one whose way is blameless, I will show the salvation of God.","ps50:8-9,16bc-17,21,23",To the upright I will show the saving power of God.,"To the upright I will show the saving power of God.

8 I will not reprove thee for thy sacrifices: and thy burnt offerings are always in my sight.
9 I will not take calves out of thy house: nor he goats out of thy flocks.
16bc Why dost thou declare my justices, and take my covenant in thy mouth?
17 Seeing thou hast hated discipline: and hast cast my words behind thee.
21 These things hast thou done, and I was silent. Thou thoughtest unjustly that I should be like to thee: but I will reprove thee, and set before thy face.
23 The sacrifice of praise shall glorify me: and there is the way by which I will shew him the salvation of God.","To one whose way is blameless, I will show the salvation of God.

I do not reprove you for your sacrifices; your burnt offerings are continually before me. I will accept no bull from your house, nor he-goat from your folds.

But to the wicked God says:""What right have you to recite my statutes, or take my covenant on your lips? For you hate discipline, and you cast my words behind you.

These things you have done and I have been silent;you thought that I was one like yourself. But now I rebuke you, and lay the charge before you.

He who brings thanksgiving as his sacrifice honors me; to him who orders his way aright I will show the salvation of God!""",reference_match_translation_response
2024-07-16,NG|temporal|ordinary-time|15|tuesday||II,temporal,,,ordinary-time,15,tuesday,,II,Tuesday of week 15 in Ordinary Time or Our Lady of Mount Carmel,,,"ps48:2-3ab,3c-4,5-6,7-8(r.9cd)",God establishes his city forever.,"ps48:2-3a,3b-4,5-6,7-8",God upholds his city for ever.,"God upholds his city for ever.

2 Great is the Lord, and exceedingly to be praised in the city of our God, in his holy mountain.
3a With the joy of the whole earth is mount Sion founded.
3b On the sides of the north, the city of the great king.
4 In her houses shall God be known, when he shall protect her.
5 For behold the kings of the earth assembled themselves: they gathered together.
6 So they saw, and they wondered, they were troubled, they were moved:
7 Trembling took hold of them. There were pains as of a woman in labour.
8 With a vehement wind thou shalt break in pieces the ships of Tharsis.","God establishes his city forever.

Great is the LORDand greatly to be praised in the city of our God! His holy mountain, beautiful in elevation,is the joy of all the earth,Mount Zion, in the far north, the city of the great King.

beautiful in elevation,is the joy of all the earth,Mount Zion, in the far north, the city of the great King. Within her citadels God has shown himself a sure defense.

For lo, the kings assembled, they came on together. As soon as they saw it, they were astounded, they were in panic, they took to flight;

trembling took hold of them there, anguish as of a woman in travail. By the east wind thou didst shatter the ships of Tarshish.",same_numbered_verses_reference_variant
