rule_id,match_book,match_chapter,match_opening_regex,failure_class,transform_type,replacement,rationale,sources,locale
gt_036,job,7,^\W*Has\W+not\W+man\W+a,speaker_attribute,replace_opening,"JOB spoke, saying",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_037,luke,5,^\W*While\W+the\W+people\W+pressed,temporal_prefix,replace_opening,WHILE the crowd was pressing in on Jesus and listening,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_038,matthew,5,^\W*Think\W+not\W+that\W+I,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_039,matthew,5,^\W*You\W+have\W+heard\W+that,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_040,luke,6,^\W*But\W+I\W+say\W+to,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_041,isaiah,49,^\W*But\W+Zion\W+said\W+The,speaker_attribute,replace_opening,"ZION said, “The Lord has forsaken me",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_042,matthew,6,^\W*No\W+one\W+can\W+serve,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_043,sirach,27,^\W*When\W+a\W+sieve\W+is,temporal_prefix,replace_opening,"WHEN a sieve is shaken, the husks appear",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_044,matthew,7,^\W*Not\W+every\W+one\W+who,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_045,genesis,3,^\W*But\W+the\W+LORD\W+God,temporal_prefix,replace_opening,"AFTER the man, Adam, had eaten of the tree",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_046,mark,4,^\W*And\W+he\W+said\W+The,speaker_attribute,replace_opening,JESUS said to the crowds,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_048,jeremiah,20,^\W*For\W+I\W+hear\W+many,speaker_attribute,replace_opening,JEREMIAH said,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_049,matthew,10,^\W*So\W+have\W+no\W+fear,speaker_attribute,replace_opening,JESUS said to the Twelve,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_050,mark,4,^\W*On\W+that\W+day\W+when,temporal_prefix,replace_opening,"ON that day, as evening drew on, Jesus said to his disciples",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_051,matthew,10,^\W*He\W+who\W+loves\W+father,speaker_attribute,replace_opening,JESUS said to his apostles,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_052,luke,9,^\W*When\W+the\W+days\W+drew,temporal_prefix,replace_opening,WHEN the days for Jesus' being taken up were fulfilled,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_053,matthew,11,^\W*At\W+that\W+time\W+Jesus,temporal_prefix,replace_opening,AT that time Jesus exclaimed,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_054,luke,10,^\W*After\W+this\W+the\W+Lord,temporal_prefix,replace_opening,AT that time the Lord appointed seventy-two others,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_055,matthew,13,^\W*That\W+same\W+day\W+Jesus,temporal_prefix,replace_opening,"ON that day, Jesus went out of the house and sat down by the sea",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_056,deuteronomy,30,^\W*if\W+you\W+obey\W+the,speaker_attribute,replace_opening,MOSES said to the people,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_057,john,6,^\W*So\W+when\W+the\W+people,temporal_prefix,replace_opening,WHEN the crowd saw that neither Jesus nor his disciples were there,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_058,luke,12,^\W*Fear\W+not\W+little\W+flock,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_059,matthew,15,^\W*And\W+Jesus\W+went\W+away,temporal_prefix,replace_opening,"AT that time, Jesus withdrew to the region of Tyre and Sidon",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_060,john,6,^\W*I\W+am\W+the\W+living,speaker_attribute,replace_opening,JESUS said to the crowds,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_061,john,12,^\W*For\W+I\W+have\W+not,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_062,jeremiah,20,^\W*O\W+LORD\W+thou\W+hast,pronoun_resolve,replace_opening,"YOU duped me, O LORD, and I let myself be duped",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_063,deuteronomy,4,^\W*And\W+now\W+O\W+Israel,speaker_attribute,replace_opening,MOSES said to the people,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_064,mark,7,^\W*Now\W+when\W+the\W+Pharisees,temporal_prefix,replace_opening,WHEN the Pharisees with some scribes who had come from Jerusalem,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_065,matthew,18,^\W*If\W+your\W+brother\W+sins,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_066,luke,16,^\W*He\W+also\W+said\W+to,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_067,matthew,21,^\W*What\W+do\W+you\W+think,speaker_attribute,replace_opening,JESUS said to the chief priests and elders of the people,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_068,mark,9,^\W*John\W+said\W+to\W+him,temporal_prefix,replace_opening,"AT that time, John said to Jesus",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_069,1 timothy,6,^\W*But\W+as\W+for\W+you,paraphrase,replace_opening,"BUT you, man of God, pursue righteousness",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_070,luke,16,^\W*There\W+was\W+a\W+rich,speaker_attribute,replace_opening,JESUS said to the Pharisees,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_071,matthew,21,^\W*Hear\W+another\W+parable\W+There,speaker_attribute,replace_opening,JESUS said to the chief priests and the elders of the people,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_072,matthew,22,^\W*But\W+when\W+the\W+Pharisees,temporal_prefix,replace_opening,WHEN the Pharisees heard that Jesus had silenced the Sadducees,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_073,matthew,23,^\W*Then\W+said\W+Jesus\W+to,speaker_attribute,replace_opening,"JESUS spoke to the crowds and to his disciples, saying",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_074,deuteronomy,6,^\W*that\W+you\W+may\W+fear,speaker_attribute,replace_opening,"MOSES spoke to the people, saying",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_075,wisdom,11,^\W*Because\W+the\W+whole\W+world,temporal_prefix,replace_opening,BEFORE the LORD the whole universe is as a grain from a balance,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_076,luke,19,^\W*He\W+entered\W+Jericho\W+and,temporal_prefix,replace_opening,"AT that time, Jesus came to Jericho and intended to pass through the town",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_077,mark,13,^\W*But\W+in\W+those\W+days,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_078,luke,9,^\W*When\W+the\W+crowds\W+learned,speaker_attribute,replace_opening,JESUS spoke to the crowds about the kingdom of God,Ground truth from manual_edit_review.csv: Solemnities/Body and Blood of Christ,lectionary_ground_truth,en
gt_079,matthew,11,^\W*At\W+that\W+time\W+Jesus,temporal_prefix,replace_opening,AT that time Jesus exclaimed,Ground truth from manual_edit_review.csv: Solemnities/Sacred Heart,lectionary_ground_truth,en
gt_080,luke,1,^\W*Now\W+the\W+time\W+came,temporal_prefix,replace_opening,WHEN the time arrived for Elizabeth to have her child,Ground truth from manual_edit_review.csv: Solemnities/Nativity of John the Baptist,lectionary_ground_truth,en
gt_081,matthew,5,^\W*Seeing\W+the\W+crowds\W+he,speaker_attribute,replace_opening,JESUS said to Nicodemus,Ground truth from manual_edit_review.csv: Solemnities/Exaltation of the Holy Cross,lectionary_ground_truth,en
