source,day_label,lect_num,type,reference,rendered_first_line,best_source_line,source_method,source_confidence,issue
standard,Ordinary Time/9/Sunday/A,,first_reading,"Deut 11:18, 26-28, 32","Moses said to the people: ""You shall therefore lay up these words of mine in your heart and in your soul; and you shall bind them as a sign upon your hand, and they shall be as frontlets between your eyes.","MOSES told the people, ""Take these words of mine into your heart and soul.",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/9/Sunday/A,,gospel,Matt 7:21-27,"Jesus said to his disciples: ""Not every one who says to me, 'Lord, Lord,' shall enter the kingdom of heaven, but he who does the will of my Father who is in heaven.","Not everyone who says to me, 'Lord, Lord,'",sunday_column_right,100,substantive_mismatch
standard,Ordinary Time/9/Sunday/B,,first_reading,Deut 5:12-15,"Moses said to the people: ""'Observe the sabbath day, to keep it holy, as the LORD your God commanded you.","THUS says the Lord: ""Take care to keep holy the sabbath day",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/9/Sunday/B,,gospel,Mark 2:23-3:6,At that time: One sabbath he was going through the grainfields; and as they made their way his disciples began to pluck heads of grain.,,,0,no_authoritative_source
standard,Ordinary Time/9/Sunday/C,,first_reading,1 Kgs 8:41-43,"In those days: ""Likewise when a foreigner, who is not of thy people Israel, comes from a far country for thy name's sake","IN those days, Solomon prayed in the temple, saying, ""To the foreigner, who is not of your people Israel,",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/9/Sunday/C,,gospel,Luke 7:1-10,At that time: After he had ended all his sayings in the hearing of the people he entered Caperna-um.,"After Jesus had finished all his sayings in the hearing of the people,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Monday/I,353,first_reading,"Tobit 1:1ad, 2a, 3, 17; 2.1-8","1. Who in the days of King Shalmaneser of the Assyrians,","This book tells the story of Tobit, son of Tobiel,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Monday/I,353,gospel,Mark 12:1-12,1. Jesus began to speak to the high priests and the scribes in parables.,Jesus began to speak to the high priests and the scribes in parables.,weekday_direct,100,match_exact
standard,Ordinary Time/9/Monday/II,353,first_reading,2 Peter 1:1-7,"1. Who in the days of King Shalmaneser of the Assyrians,","Simon Peter, a servant and apostle of Jesus Christ,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Monday/II,353,gospel,Mark 12:1-12,1. Jesus began to speak to the high priests and the scribes in parables.,Jesus began to speak to the high priests and the scribes in parables.,weekday_direct,100,match_exact
standard,Ordinary Time/9/Tuesday/I,354,first_reading,Tobit 2:9-14 – 3.1,Reading text unavailable for Tobit 2:9-14 – 3.1.,"At night I, Tobit, tired from burying the dead,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Tuesday/I,354,gospel,Mark 12:13-17,13. Some Pharisees and some Herodians were sent to Jesus,Some Pharisees and some Herodians were sent to Jesus,weekday_direct,100,match_exact
standard,Ordinary Time/9/Tuesday/I,354,first_reading,Tobit 2:9-14 – 3.1,Reading text unavailable for Tobit 2:9-14 – 3.1.,"At night I, Tobit, tired from burying the dead,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Tuesday/I,354,gospel,Mark 12:13-17,13. Some Pharisees and some Herodians were sent to Jesus,Some Pharisees and some Herodians were sent to Jesus,weekday_direct,100,match_exact
standard,Ordinary Time/9/Tuesday/II,354,first_reading,"2 Peter 3:12-15a, 17-18","12. At night I, Tobit, tired from burying the dead,","Beloved, what sort of persons should you be",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Tuesday/II,354,gospel,Mark 12:13-17,13. Some Pharisees and some Herodians were sent to Jesus,Some Pharisees and some Herodians were sent to Jesus,weekday_direct,100,match_exact
standard,Ordinary Time/9/Tuesday/II,354,first_reading,"2 Peter 3:12-15a, 17-18","12. At night I, Tobit, tired from burying the dead,","Beloved, what sort of persons should you be",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Tuesday/II,354,gospel,Mark 12:13-17,13. Some Pharisees and some Herodians were sent to Jesus,Some Pharisees and some Herodians were sent to Jesus,weekday_direct,100,match_exact
standard,Ordinary Time/9/Wednesday/I,355,first_reading,"Tobit 3:1-6a, 7-10a, 11-13, 15b-17a","1. Tobit, who was blind and ridiculed by his neighbours,","Tobit, who was blind and ridiculed by his neighbours, even by his wife, wept with much grief and anguish of the heart and began to pray saying:",weekday_direct,100,match_close
standard,Ordinary Time/9/Wednesday/I,355,gospel,Mark 12:18-27,"18. Some Sadducees, who say there is no resurrection,","Some Sadducees, who say there is no resurrection,",weekday_direct,100,match_exact
standard,Ordinary Time/9/Wednesday/II,355,first_reading,"2 Timothy 1:1-3, 6-12","1. Tobit, who was blind and ridiculed by his neighbours,","From Paul, an apostle of Christ Jesus by the will of God,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Wednesday/II,355,gospel,Mark 12:18-27,"18. Some Sadducees, who say there is no resurrection,","Some Sadducees, who say there is no resurrection,",weekday_direct,100,match_exact
standard,Ordinary Time/9/Thursday/I,356,first_reading,"Tobit 4:20; 5.4; 6.10-11b; 7.1, 9-16; 8.1, 4-9","20. Tobit called his son, Tobias, and said to him,","Tobit called his son, Tobias, and said to him, ""And now, my son, let me explain to you",weekday_direct,100,match_close
standard,Ordinary Time/9/Thursday/I,356,gospel,Mark 12:28-34,"28. One of the scribes came near to Jesus and asked him,","One of the scribes came near to Jesus and asked him,",weekday_direct,100,match_exact
standard,Ordinary Time/9/Thursday/II,356,first_reading,2 Timothy 2:8-15,"8. Tobit called his son, Tobias, and said to him,","My dear brother, Timothy,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Thursday/II,356,gospel,Mark 12:28-34,"28. One of the scribes came near to Jesus and asked him,","One of the scribes came near to Jesus and asked him,",weekday_direct,100,match_exact
standard,Ordinary Time/9/Friday/I,357,first_reading,Tobit 11:5-15,"5. Tobit’s wife, Anna, sat looking intently down the road,","Tobit's wife, Anna, sat looking intently down the road,",weekday_direct,100,match_exact
standard,Ordinary Time/9/Friday/I,357,gospel,Mark 12:35-37,"35. While Jesus was teaching in the temple, he said,","While Jesus was teaching in the temple, he said,",weekday_direct,100,match_exact
standard,Ordinary Time/9/Friday/II,357,first_reading,2 Timothy 3:10-17,"10. Tobit’s wife, Anna, sat looking intently down the road,","You have observed my teaching, my conduct, my aim in life,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Friday/II,357,gospel,Mark 12:35-37,"35. While Jesus was teaching in the temple, he said,","While Jesus was teaching in the temple, he said,",weekday_direct,100,match_exact
standard,Ordinary Time/9/Saturday/II,358,first_reading,Jas 5:13-20,Reading text unavailable for Jas 5:13-20.,"My brothers and sisters,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/9/Saturday/II,358,gospel,Mark 10:13-16,"At that time, When Jesus was teaching the crowd, he said,",People were bringing little children to Jesus,weekday_direct,100,substantive_mismatch
standard,Ordinary Time/10/Sunday/A,,first_reading,Hos 6:3-6,"Thus says the LORD: Let us know, let us press on to know the LORD; his going forth is sure as the dawn; he will come to us as the showers, as the spring rains that water the earth.""","IN their affliction, people will say: ""Let us know, let us strive to know the Lord;",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/10/Sunday/A,,gospel,Matt 9:9-13,"At that time: As Jesus passed on from there, he saw a man called Matthew sitting at the tax office; and he said to him, ""Follow me."" And he rose and followed him.","AS Jesus passed on from there,",sunday_column_right,100,substantive_mismatch
standard,Ordinary Time/10/Sunday/B,,first_reading,Gen 3:9-15,"In the beginning: The LORD God called to the man, and said to him, ""Where are you?""","AFTER the man, Adam, had eaten of the tree, the Lord God called to the man and asked him, ""Where are you?""",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/10/Sunday/B,,gospel,Mark 3:20-35,"At that time: The crowd came together again, so that they could not even eat.",JESUS came home with his disciples.,sunday_column_right,100,substantive_mismatch
standard,Ordinary Time/10/Sunday/C,,first_reading,1 Kgs 17:17-24,"In those days: After this the son of the woman, the mistress of the house, became ill; and his illness was so severe that there was no breath left in him.","ELIJAH went to Zarephath of Sidon to the house of a widow. The son of the mistress of the house fell sick,",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/10/Sunday/C,,gospel,Luke 7:11-17,"At that time: On afterward  he went to a city called Nain, and his disciples and a great crowd went with him.","Jesus went to a town called Nain,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/10/Monday/I,359,first_reading,2 Corinthians 1:1-7,"1. From Paul, an apostle of Christ Jesus by the will of God,","From Paul, an apostle of Christ Jesus by the will of God,",weekday_direct,100,match_exact
standard,Ordinary Time/10/Monday/I,359,gospel,Matt 5:1-12,"1. When Jesus saw the crowds, he went up the mountain;","When Jesus saw the crowds, he went up the mountain;",weekday_direct,100,match_exact
standard,Ordinary Time/10/Monday/II,359,first_reading,1 Kings 17:1-6,"1. From Paul, an apostle of Christ Jesus by the will of God,","Elijah the Tishbite, said to king Ahab,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/10/Monday/II,359,gospel,Matt 5:1-12,"1. When Jesus saw the crowds, he went up the mountain;","When Jesus saw the crowds, he went up the mountain;",weekday_direct,100,match_exact
standard,Ordinary Time/10/Tuesday/I,360,first_reading,2 Corinthians 1:18-22,"18. As surely as God is faithful,","As surely as God is faithful,",weekday_direct,100,match_exact
standard,Ordinary Time/10/Tuesday/I,360,gospel,Matt 5:13-16,"Jesus said to his disciples: ""You are the salt of the earth; but if salt has lost its taste, how shall its saltness be restored? It is no longer good for anything except to be thrown out and trodden under foot by men.","Jesus said to his disciples, ""You are the salt of the earth;",weekday_direct,100,match_close
standard,Ordinary Time/10/Tuesday/II,360,first_reading,1 Kings 17:7-16,"7. As surely as God is faithful,","After a while the wadi where Elijah was hiding dried up,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/10/Tuesday/II,360,gospel,Matt 5:13-16,"Jesus said to his disciples: ""You are the salt of the earth; but if salt has lost its taste, how shall its saltness be restored? It is no longer good for anything except to be thrown out and trodden under foot by men.","Jesus said to his disciples, ""You are the salt of the earth;",weekday_direct,100,match_close
standard,Ordinary Time/10/Wednesday/I,361,first_reading,2 Corinthians 3:4-11,"Brothers and sisters,","Brothers and sisters,",weekday_direct,100,match_exact
standard,Ordinary Time/10/Wednesday/I,361,gospel,Matt 5:17-19,"Jesus said to the disciples,","Jesus said to the disciples,",weekday_direct,100,match_exact
standard,Ordinary Time/10/Wednesday/II,361,first_reading,1 Kings 18:20-39,"Brothers and sisters,","King Ahab summoned all the Israelites,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/10/Wednesday/II,361,gospel,Matt 5:17-19,"Jesus said to the disciples,","Jesus said to the disciples,",weekday_direct,100,match_exact
standard,Ordinary Time/10/Thursday/I,362,first_reading,"2 Corinthians 3:15 – 4.1, 3-6","3. To this very day whenever Moses is read,","To this very day whenever Moses is read,",weekday_direct,100,match_exact
standard,Ordinary Time/10/Thursday/I,362,gospel,Matt 5:20-26,"Jesus said to his disciples: I tell you, unless your righteousness exceeds that of the scribes and Pharisees, you will never enter the kingdom of heaven.","Jesus said to his disciples: ""For I tell you, unless your righteousness",weekday_direct,100,match_paraphrase
standard,Ordinary Time/10/Thursday/II,362,first_reading,1 Kings 18:41-46,"41. To this very day whenever Moses is read,","At the foot of Mount Carmel, Elijah said to Ahab,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/10/Thursday/II,362,gospel,Matt 5:20-26,"Jesus said to his disciples: I tell you, unless your righteousness exceeds that of the scribes and Pharisees, you will never enter the kingdom of heaven.","Jesus said to his disciples: ""For I tell you, unless your righteousness",weekday_direct,100,match_paraphrase
standard,Ordinary Time/10/Friday/I,363,first_reading,2 Corinthians 4:7-15,"Brothers and sisters,","Brothers and sisters,",weekday_direct,100,match_exact
standard,Ordinary Time/10/Friday/I,363,gospel,Matt 5:27-32,"Jesus said to his disciples: ""You have heard that it was said, 'You shall not commit adultery.'","Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,match_close
standard,Ordinary Time/10/Friday/II,363,first_reading,"1 Kings 19:9a, 11-16","Brothers and sisters,","When Elijah reached Horeb the mount of God, he came to a cave, and spent the night there.",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/10/Friday/II,363,gospel,Matt 5:27-32,"Jesus said to his disciples: ""You have heard that it was said, 'You shall not commit adultery.'","Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,match_close
standard,Ordinary Time/10/Saturday/I,364,first_reading,2 Cor 12:1-10,"1. It is necessary to boast, though nothing is to be gained by it;","It is necessary to boast, though nothing is to be gained by it;",weekday_direct,100,match_exact
standard,Ordinary Time/10/Saturday/I,364,gospel,Matt 6:24-34,"Jesus said to his disciples: ""No one can serve two masters; for either he will hate the one and love the other, or he will be devoted to the one and despise the other. You cannot serve God and mammon.","Jesus said to his disciples: ""No one can serve two masters;",weekday_direct,100,match_close
standard,Ordinary Time/10/Saturday/II,364,first_reading,"Jude 17, 20b-25","Reading text unavailable for Jude 17, 20b-25.",,,0,no_authoritative_source
standard,Ordinary Time/10/Saturday/II,364,gospel,Mark 11:27-33,"At that time, “You have heard that it was said to those of ancient times,",Jesus and the disciples came to Jerusalem.,weekday_direct,100,substantive_mismatch
standard,Ordinary Time/11/Sunday/A,,first_reading,Exod 19:2-6a,"In those days: When they set out from Rephidim and came into the wilderness of Sinai, they encamped in the wilderness; and there Israel encamped before the mountain.","IN those days, the Israelites came to the desert of Sinai and pitched camp. While Israel was encamped here in front of the mountain,",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/11/Sunday/A,,gospel,Matt 9:36-10:8,"At that time: When he saw the crowds, he had compassion for them, because they were harassed and helpless, like sheep without a shepherd.","AT the sight of the crowds, Jesus' heart was moved with pity for them",sunday_column_right,100,substantive_mismatch
standard,Ordinary Time/11/Sunday/B,,first_reading,Ez 17:22-24,"22. Thus says the Lord GOD: ""I myself will take a sprig from the lofty top of the cedar, and will set it out; I will break off from the topmost of its young twigs a tender one, and I myself will plant it upon a high and lofty mountain;","THUS says the Lord GOD: I, too, will take from the crest of the cedar,",sunday_column_left,100,match_paraphrase
standard,Ordinary Time/11/Sunday/B,,gospel,Mark 4:26-34,"At that time: He said, ""The kingdom of God is as if a man should scatter seed upon the ground,",This is how it is with the kingdom of God;,sunday_column_right,100,substantive_mismatch
standard,Ordinary Time/11/Sunday/C,,first_reading,"2 Sam 12:7-10, 13","In those days: Nathan said to David, ""You are the man. Thus says the LORD, the God of Israel, 'I anointed you king over Israel, and I delivered you out of the hand of Saul;","NATHAN said to David: ""Thus says the Lord God of Israel:",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/11/Sunday/C,,gospel,Luke 7:36-8:3,"At that time: One of the Pharisees asked him to eat with him, and he went into the Pharisee's house, and took his place at table.",,,0,no_authoritative_source
standard,Ordinary Time/11/Monday/I,365,first_reading,2 Corinthians 6:1-10,"Brothers and sisters,","Brothers and sisters,",weekday_direct,100,match_exact
standard,Ordinary Time/11/Monday/I,365,gospel,Matt 5:38-42,"Jesus said to his disciples: ""You have heard that it was said, 'An eye for an eye and a tooth for a tooth.'","Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,match_close
standard,Ordinary Time/11/Monday/II,365,first_reading,1 Kings 21:1-16,"Brothers and sisters,","Naboth the Jezreelite had a vineyard in Jezreel,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/11/Monday/II,365,gospel,Matt 5:38-42,"Jesus said to his disciples: ""You have heard that it was said, 'An eye for an eye and a tooth for a tooth.'","Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,match_close
standard,Ordinary Time/11/Tuesday/I,366,first_reading,2 Corinthians 8:1-9,"1. We want you to know, brothers and sisters,","We want you to know, brothers and sisters,",weekday_direct,100,match_exact
standard,Ordinary Time/11/Tuesday/I,366,gospel,Matt 5:43-48,"Jesus said to his disciples: ""You have heard that it was said, 'You shall love your neighbor and hate your enemy.'","Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,match_close
standard,Ordinary Time/11/Tuesday/II,366,first_reading,1 Kings 21:17-29,"17. We want you to know, brothers and sisters,","The word of the Lord came to Elijah the Tishbite, saying:",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/11/Tuesday/II,366,gospel,Matt 5:43-48,"Jesus said to his disciples: ""You have heard that it was said, 'You shall love your neighbor and hate your enemy.'","Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,match_close
standard,Ordinary Time/11/Wednesday/I,367,first_reading,2 Corinthians 9:6-11,"Brothers and sisters, the point is this:","Brothers and sisters, the point is this:",weekday_direct,100,match_exact
standard,Ordinary Time/11/Wednesday/I,367,gospel,"Matt 6:1-6, 16-18","Jesus said to his disciples: ""Beware of practicing your piety before men in order to be seen by them; for then you will have no reward from your Father who is in heaven.","Jesus said to his disciples: ""Beware of practising your piety before others",weekday_direct,100,match_paraphrase
standard,Ordinary Time/11/Wednesday/II,367,first_reading,"2 Kings 2:1, 6-14","Brothers and sisters, the point is this:","When the Lord was about to take Elijah up to heaven by a whirlwind,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/11/Wednesday/II,367,gospel,"Matt 6:1-6, 16-18","Jesus said to his disciples: ""Beware of practicing your piety before men in order to be seen by them; for then you will have no reward from your Father who is in heaven.","Jesus said to his disciples: ""Beware of practising your piety before others",weekday_direct,100,match_paraphrase
standard,Ordinary Time/11/Thursday/I,368,first_reading,2 Corinthians 11:1-11,"Brothers and sisters,","Brothers and sisters,",weekday_direct,100,match_exact
standard,Ordinary Time/11/Thursday/I,368,gospel,Matt 6:7-15,"Jesus said to his disciples: ""And in praying do not heap up empty phrases as the Gentiles do; for they think that they will be heard for their many words.","Jesus said to his disciples: ""When you are praying,",weekday_direct,100,match_paraphrase
standard,Ordinary Time/11/Thursday/II,368,first_reading,Sir 48:1-14,"1. Elijah arose, a prophet like fire,","Elijah arose, a prophet like fire,",weekday_direct,100,match_exact
standard,Ordinary Time/11/Thursday/II,368,gospel,Matt 6:7-15,"Jesus said to his disciples: ""And in praying do not heap up empty phrases as the Gentiles do; for they think that they will be heard for their many words.","Jesus said to his disciples: ""When you are praying,",weekday_direct,100,match_paraphrase
standard,Ordinary Time/11/Friday/I,369,first_reading,"2 Corinthians 11:18, 21b-30","18. Since many boast according to human standards,","Since many boast according to human standards,",weekday_direct,100,match_exact
standard,Ordinary Time/11/Friday/I,369,gospel,Matt 6:19-23,"Jesus said to his disciples: ""Do not lay up for yourselves treasures on earth, where moth and rust consume and where thieves break in and steal,","Jesus said to his disciples: ""Do not store up for yourselves treasures on earth,",weekday_direct,100,match_paraphrase
standard,Ordinary Time/11/Friday/II,369,first_reading,"2 Kings 11:1-4, 9-18, 20","1. Since many boast according to human standards,","When Athaliah, Ahaziah's mother, saw that her son was dead,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/11/Friday/II,369,gospel,Matt 6:19-23,"Jesus said to his disciples: ""Do not lay up for yourselves treasures on earth, where moth and rust consume and where thieves break in and steal,","Jesus said to his disciples: ""Do not store up for yourselves treasures on earth,",weekday_direct,100,match_paraphrase
standard,Ordinary Time/11/Saturday/I,370,first_reading,Isa 61:9-11,"9. The descendants of the just shall be known among the nations,","The descendants of the just shall be known among the nations,",weekday_direct,100,match_exact
standard,Ordinary Time/11/Saturday/I,370,gospel,Luke 2:41-51 (proper),Reading text unavailable for Luke 2:41-51 (proper).,,,0,no_authoritative_source
standard,Ordinary Time/11/Saturday/II,370,first_reading,Isa 61:9-11,"9. The descendants of the just shall be known among the nations,","The descendants of the just shall be known among the nations,",weekday_direct,100,match_exact
standard,Ordinary Time/11/Saturday/II,370,gospel,Luke 2:41-51 (proper),Reading text unavailable for Luke 2:41-51 (proper).,,,0,no_authoritative_source
standard,Ordinary Time/12/Sunday/A,,first_reading,Jer 20:10-13,"Thus says the LORD: I hear many whispering. Terror is on every side! ""Denounce him! Let  us denounce him!"" say all my familiar friends, watching for my fall. ""Perhaps he will be deceived, then we can overcome him, and take our revenge on him.""","JEREMIAH said: ""I hear the whisperings of many:",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/12/Sunday/A,,gospel,Matt 10:26-33,"At that time: ""So have no fear of them; for nothing is covered that will not be revealed, or hidden that will not be known.",JESUS said to the Twelve:,sunday_column_right,100,substantive_mismatch
standard,Ordinary Time/12/Sunday/B,,first_reading,"Job 38:1, 8-11",1. Then the LORD answered Job out of the whirlwind:,"THE Lord addressed Job out of the storm and said: Who shut within doors the sea,",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/12/Sunday/B,,gospel,Mark 4:35-41,"At that time: When evening had come, he said to them, ""Let us go across to the other side.""","All day long, Jesus had spoken to the crowd in parables. When evening had come,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/12/Sunday/C,,first_reading,Zec 12:10-11; 13:1,"10. ""And I will pour out on the house of David and the inhabitants of Jerusalem a spirit of compassion and supplication, so that, when they look on him whom they have pierced, they shall mourn for him, as one mourns for an only child, and weep bitterly over him, as one weeps over a first-born.",THUS says the Lord: I will pour out on the house of David,sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/12/Sunday/C,,gospel,Luke 9:18-24,"At that time: It happened that as he was praying alone the disciples were with him; and he asked them, ""Who do the people say that I am?""","ONCE when Jesus was praying in solitude,",sunday_column_right,100,substantive_mismatch
standard,Ordinary Time/12/Monday/I,371,first_reading,Gen 12:1-9,"1. The family of Abram lived in Haran of the Chaldeans. The Lord said to Abram, ""Go from your country","The family of Abram lived in Haran of the Chaldeans. The Lord said to Abram, ""Go from your country",weekday_direct,100,match_exact
standard,Ordinary Time/12/Monday/I,371,gospel,Matt 7:1-5,"Jesus said to his disciples: ""Judge not, that you be not judged.","Jesus said to his disciples: ""Do not judge, so that you may not be judged.",weekday_direct,100,match_paraphrase
standard,Ordinary Time/12/Monday/II,371,first_reading,"2 Kings 17:5-8, 13-15a, 18",5. The family of Abram lived in Haran of the Chaldeans.,The king of Assyria invaded all the land,weekday_direct,100,substantive_mismatch
standard,Ordinary Time/12/Monday/II,371,gospel,Matt 7:1-5,"Jesus said to his disciples: ""Judge not, that you be not judged.","Jesus said to his disciples: ""Do not judge, so that you may not be judged.",weekday_direct,100,match_paraphrase
standard,Ordinary Time/12/Monday/II,377,first_reading,1 Kgs 17:1-6,"1. Elijah the Tishbite, said to king Ahab,","Elijah the Tishbite, said to king Ahab,",weekday_direct,100,match_exact
standard,Ordinary Time/12/Monday/II,377,gospel,Matt 5:1-12,"1. When Jesus saw the crowds, he went up the mountain;","When Jesus saw the crowds, he went up the mountain;",weekday_direct,100,match_exact
standard,Ordinary Time/12/Tuesday/I,372,first_reading,"Gen 13:2, 5-18","2. Abram was very rich in livestock, in silver, and in gold.","Abram was very rich in livestock, in silver, and in gold.",weekday_direct,100,match_exact
standard,Ordinary Time/12/Tuesday/I,372,gospel,"Matt 7:6, 12-14","Jesus said to his disciples: ""Do not give dogs what is holy; and do not throw your pearls before swine, lest they trample them under foot and turn to attack you.","Jesus said to his disciples: ""Do not give what is holy to dogs;",weekday_direct,100,match_paraphrase
standard,Ordinary Time/12/Tuesday/II,372,first_reading,"2 Kings 19:9b-11, 14-21, 31-36","9. Abram was very rich in livestock, in silver, and in gold.","Sennacherib, the king of Assyria,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/12/Tuesday/II,372,gospel,"Matt 7:6, 12-14","Jesus said to his disciples: ""Do not give dogs what is holy; and do not throw your pearls before swine, lest they trample them under foot and turn to attack you.","Jesus said to his disciples: ""Do not give what is holy to dogs;",weekday_direct,100,match_paraphrase
standard,Ordinary Time/12/Wednesday/I,373,first_reading,"Gen 15:1-12, 17-18","The word of the Lord came to Abram in a vision,","The word of the Lord came to Abram in a vision,",weekday_direct,100,match_exact
standard,Ordinary Time/12/Wednesday/I,373,gospel,Matt 7:15-20,"Jesus said to his disciples: ""Beware of false prophets, who come to you in sheep's clothing but inwardly are ravenous wolves.","Jesus said to his disciples: ""Beware of false prophets, who come to you in sheep's clothing",weekday_direct,100,match_close
standard,Ordinary Time/12/Wednesday/II,373,first_reading,2 Kings 22:8-13; 23.1-3,"The word of the Lord came to Abram in a vision,","The high priest Hilkiah said to Shaphan the secretary,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/12/Wednesday/II,373,gospel,Matt 7:15-20,"Jesus said to his disciples: ""Beware of false prophets, who come to you in sheep's clothing but inwardly are ravenous wolves.","Jesus said to his disciples: ""Beware of false prophets, who come to you in sheep's clothing",weekday_direct,100,match_close
standard,Ordinary Time/12/Thursday/I,374,first_reading,"Gen 16:6b-12, 15-16","In the beginning: Sarai, Abram’s wife, bore him no children.",,,0,no_authoritative_source
standard,Ordinary Time/12/Thursday/I,374,gospel,Matt 7:21-29,"Jesus said to his disciples: ""Not every one who says to me, 'Lord, Lord,' shall enter the kingdom of heaven, but he who does the will of my Father who is in heaven.","Jesus said to his disciples: ""Not everyone who says to me, 'Lord, Lord,'",weekday_direct,100,match_paraphrase
standard,Ordinary Time/12/Thursday/II,374,first_reading,2 Kings 24:8-17,"8. Sarai, Abram’s wife, bore him no children.",Jehoiachin was eighteen years old when he began to reign;,weekday_direct,100,substantive_mismatch
standard,Ordinary Time/12/Thursday/II,374,gospel,Matt 7:21-29,"Jesus said to his disciples: ""Not every one who says to me, 'Lord, Lord,' shall enter the kingdom of heaven, but he who does the will of my Father who is in heaven.","Jesus said to his disciples: ""Not everyone who says to me, 'Lord, Lord,'",weekday_direct,100,match_paraphrase
standard,Ordinary Time/12/Friday/I,375,first_reading,"Gen 17:1, 5, 9-10, 15-22","1. When Abram was ninety-nine years old,","When Abram was ninety-nine years old,",weekday_direct,100,match_exact
standard,Ordinary Time/12/Friday/I,375,gospel,Matt 8:1-4,"1. When Jesus had come down from the mountain,","When Jesus had come down from the mountain,",weekday_direct,100,match_exact
standard,Ordinary Time/12/Friday/II,375,first_reading,2 Kings 25:1-12,"1. When Abram was ninety-nine years old,","And in the ninth year of Zedekiah's reign,",weekday_direct,100,substantive_mismatch
standard,Ordinary Time/12/Friday/II,375,gospel,Matt 8:1-4,"1. When Jesus had come down from the mountain,","When Jesus had come down from the mountain,",weekday_direct,100,match_exact
standard,Ordinary Time/12/Saturday/II,376,first_reading,"Lamentations 2:2, 10-14, 18-19","2. The Lord appeared to Abraham by the oaks of Mamre,",The Lord has destroyed without mercy,weekday_direct,100,substantive_mismatch
standard,Ordinary Time/12/Saturday/II,376,gospel,Matt 8:5-17,"5. When Jesus entered Capernaum, a centurion came to him,","When Jesus entered Capernaum, a centurion came to him,",weekday_direct,100,match_exact
standard,Ordinary Time/13/Sunday/A,,first_reading,"2 Kgs 4:8-11, 14-16a","In those days: Elisha went on to Shunem, where a wealthy woman lived, who urged him to eat some food. So whenever he passed that way, he would turn in there to eat food.","ONE day Elisha came to Shunem, where there was a woman of influence, who urged him",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/13/Sunday/A,,gospel,Matt 10:37-42,At that time: He who loves father or mother more than me is not worthy of me; and he who loves son or daughter more than me is not worthy of me;,JESUS said to his apostles:,sunday_column_right,100,substantive_mismatch
standard,Ordinary Time/13/Sunday/B,,first_reading,Wis 1:13-15; 2:23-24,"Wisdom has been given to us: Because God did not make death,","GOD did not make death, nor does he rejoice in the destruction of the living.",sunday_column_left,100,substantive_mismatch
standard,Ordinary Time/13/Sunday/B,,gospel,Mark 5:21-43,"At that time: When Jesus had crossed again in the boat to the other side, a great crowd gathered about him; and he was beside the sea.","When Jesus had crossed in the boat to the other side,",weekday_direct,100,substantive_mismatch
