occasion,petitions,page_number
"THE SECOND SUNDAY OF ADVENT"," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring. |  Lord, graciously hear us. (One, two or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever- virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. We ask thee, Lord, in thy kindness to listen to our petitions and generously heed our humble prayers: through Christ our Lord. Amen. THE PETITIONS Reader. 2","11"
"THE THIRD SUNDAY OF ADVENT"," Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage and the enterprises we undertake. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Almighty God, who hast given us grace at this time with one accord to make „ our common supplications unto thee; and dost promise that when two or three are gathered together in thy name thou wilt grant their requests: fulfil now, O Lord, the desires and petitions of thy servants, as may be most expedient for them; granting us in this world knowledge of thy truth, and in the world to come life everlasting: through Christ our Lord. Amen. 3","12"
"THE FOURTH SUNDAY OF ADVENT"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Help our people in their daily work so to dedicate their labour to thee that it may reflect the beauty of thy creation. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasions, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Iet us pray. We ask thee, Lord, in thy kindness to listen to our petitions and j generously heed our humble prayers: through our Lord. Amen. 4","13"
"THE NATIVITY OF OUR LORD"," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit, enrich them with thy heavenly grace; prosper them with all happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. ive peace and harmony in our homes, and a deep love of our holy religion. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, whose mercy is beyond telling, and whose goodness an infinite treasure, we give thanks to thy sovereign kindness for the gifts we have received, and beg for thy continued favour. Do not forsake us, but prepare us for the rewards to come: through Christ our Lord. Amen. THE PETITIONS Reader. 5","14"
"SUNDAY WITHIN THE OCTAVE"," Lord, graciously hear us. Guide those who govern our country that they may rule with wisdom and justice. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Listen with mercy, Lord, to our prayers of humble petition; and, in order to j grant our desires, make us ask what is according to thy will: through Christ our Lord. Amen. THE INVITATION THE PETITIONS Reader 6","15"
"THE OCTAVE OF THE NATIVITY"," Lord, graciously hear us. Direct all rulers that thy people everywhere may know good government and enjoy lasting peace. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Grant spiritual refreshment to us all assembled here with thee, that the Eucharist may be for us the pledge of eternal glory. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Listen to the prayers of thy family, Lord, and lead us in whole-hearted j obedience to thee, supporting and shielding us. Through our trust in thy guidance may nothing harmful befall us and good things be ours in full measure : through Christ our Lord. Amen. 2 PF 7","16"
"THE MOST HOLY NAME OF JESUS"," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit; enrich them with thy heavenly grace; prosper them all with happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the ^intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, our refuge and our strength, listen to the devout prayers of thy Church, thou who art the source of compassion: and grant that what we ask in faith, we may obtain: through Christ our Lord. Amen. 8","17"
"EPIPHANY"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and follow it. |  Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Bless our young people, that, forgetful of themselves, they may find true happiness in knowing, loving, and serving thee. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the ^intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Graciously receive the prayers of thy Church, we beg thee, Lord, so that she may triumph over all hostility and error, and serve thee in safety and freedom: through Christ our Lord. Amen. 9","18"
"EPIPHANY"," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Bless the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, who by the grace of thy Holy Spirit hast filled the hearts of thy faithful with the gifts of charity, grant to thy servants for whom we entreat thy mercy, health of mind and body, so that they may love thee with all their strength, and do thy good pleasure with all their hearts: through Christ our Lord. Amen. 10","19"
"EPIPHANY"," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly love. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy Angels guard them. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage, and the enterprises we undertake. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the ^intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, whose mercy is beyond telling, and whose goodness an infinite treasure, we give thanks to thy sovereign kindness for the gifts we have received, and beg for thy continued favour. Do not forsake us, but prepare us for the rewards to come : through Christ our Lord. Amen. 11","20"
"EPIPHANY"," Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them and us from all harm. |  Lord, graciously hear us. Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives that they are followers of thy Son, Our Lord Jesus Christ. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. We ask thee, Lord, in thy kindness to listen to our petitions and generously heed our humble prayers : through Christ our Lord. Amen. 12","21"
"EPIPHANY"," Lord, graciously hear us. Direct all rulers that thy people everywhere may know good government and enjoy lasting peace. |  Lord, graciously hear us. Heal thy servants, Lord, who are sick and put their trust in thee. Send them help, Lord, and comfort. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Almighty God, who hast given us grace at this time with one accord to make . our common supplications unto thee; and dost promise, that when two or three are gathered together in thy name thou wilt grant their requests: fulfil now, O Lord, the desires and petitions of thy servants, as may be most expedient for them; granting us in this world knowledge of thy truth, and in the world to come life everlasting : through Christ our Lord. Amen. 13","22"
"EPIPHANY"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, gracious hear us. Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. |  Lord, graciously hear us. Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to Christ Our Lord and our unity in him. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to theinteru cession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, who by the grace of thy Holy Spirit hast filled the hearts of thy faithful with the gifts of charity, grant to thy servants for whom we entreat thy mercy, health of mind and body, so that they may love thee with all their strength, and do thy good pleasure with all their heart: through Christ our Lord. Amen. 14","23"
"EPIPHANY"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Listen to the prayers of thy family, Lord, and lead us in whole-hearted obej dience to thee, supporting and shielding us. Through our trust in thy guidance may nothing harmful befall us and good things be ours in good measure: through Christ our Lord. Amen. 15","24"
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the a ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. ive peace and harmony in our homes, and a deep love of our holy religion. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Almighty God, who hast given us grace at this time with one accord to .make our common supplications unto thee; and dost promise, that when two or three are gathered together in thy name thou wilt grant their requests: fulfil now, Lord, the desires and petitions of thy servants, as may be most expedient for them; granting us in this world knowledge of thy truth, and in the world to come life everlasting: through Christ our Lord. Amen. THE PETITIONS Reader. 16","25"
"LENT"," Lord, graciously hear us. Bless all those who work for peace, that they may achieve their holy purpose. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives their following of thee. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) tet us commend ourselves and all God’s people, living and dead, to the -/intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, who by the grace of thy Holy Spirit hast filled the hearts of thy faithful with the gifts of charity, grant to thy servants for whom we entreat thy mercy, health of mind and body, so that they may love thee with all their strength, and do thy good pleasure with all their heart: through Christ our Lord. Amen. 17","26"
"LENT"," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Inspire us with the light of thy Holy Spirit and teach us to know and do thy holy will. |  Lord, graciously hear us. (One, two, or at most three petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the -/intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. God, who art moved by repentance to have mercy even on the greatest sinners, look kindly on our humble prayers and enlighten our hearts, so that we may have strength to fulfil thy commandments: through Christ our Lord. Amen. 18","27"
"LENT"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Stir our consciences to help the hungry and the poor throughout the world. |  Lord, graciously hear us. ive us true sorrow for our sins and a firm purpose of amendment. Lord, P- Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the ^intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, whose mercy is beyond telling, and whose goodness an infinite treasure, we give thanks to thy sovereign kindness for the gifts we have received, and beg for thy continued favour. Do not forsake us, but prepare us for the rewards to come: through Christ our Lord. P- Amen. THE PETITIONS Reader. hear us 19","28"
"LENT"," Lord, graciously hear us, Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage, and the enterprises we undertake. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-Virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Almighty God, who hast given us grace at this time to make our common . supplications unto thee; and dost promise, that when two or three are gathered together in thy name thou wilt grant their requests: fulfil now, O Lord, the desires and petitions of thy servants, as may be most expedient for them; granting us in this world knowledge of thy truth, and in the world to come life everlasting: through Christ our Lord. Amen. 20","29"
"LENT"," Lord, graciously hear us. Guide the minds of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the ^intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. God, who art moved to have mercy even on the greatest sinner, look kindly on our humble prayers and enlighten our hearts, so that we may have strength to fulfil thy commandments: through Christ our Lord. Amen. 21","30"
"LENT"," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the -j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. P Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Be moved by our urgent petitions, Lord, to answer our prayer of faith. Let no hope be in vain, no entreaty fruitless: through Christ our Lord. THE INVITATION THE PETITIONS Reader. Amen. 22","31"
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) tet us commend ourselves and all God’s people, living and dead, to the ^intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Almighty God, who hast given us grace at this time with one accord to . make our common supplications unto thee; and dost promise, that when two or three are gathered together in thy name thou wilt grant their requests: fulfil now, O Lord, the desires and petitions of thy servants, as may be most expedient for them; granting us in this world knowledge of thy truth, and in the world to come life everlasting: through Christ our Lord. Amen. 23 3 PF","32"
"LENT"," Lord, graciously hear us. Sanctify all Bishops of the Church. Give them the grace to be true shepherds of their flocks, especially our own Bishop N. |  Lord, graciously hear us. May we be given the grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the -/intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. God, who art moved by repentance to have mercy even on the greatest sinners, look kindly on our humble prayers and enlighten our hearts, so that we may have strength to fulfil thy commandments: through Christ our Lord. Amen. 24","33"
