page_number,occasion,petitions
23,THE FIFTH SUNDAY AFTER EPIPHANY," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, gracious hear us. Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. |  Lord, graciously hear us. Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to Christ Our Lord and our unity in him."
24,THE SIXTH SUNDAY AFTER EPIPHANY," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
25,SEPTUAGESIMA SUNDAY," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the a ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. ive peace and harmony in our homes, and a deep love of our holy religion."
26,SEXAGESIMA SUNDAY," Lord, graciously hear us. Bless all those who work for peace, that they may achieve their holy purpose. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives their following of thee."
27,QUINQUAGESIMA SUNDAY," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Inspire us with the light of thy Holy Spirit and teach us to know and do thy holy will."
28,THE FIRST SUNDAY IN LENT," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Stir our consciences to help the hungry and the poor throughout the world."
29,THE SECOND SUNDAY IN LENT," Lord, graciously hear us, Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage, and the enterprises we undertake."
30,THE THIRD SUNDAY IN LENT," Lord, graciously hear us. Guide the minds of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will."
31,THE FOURTH SUNDAY IN LENT," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring."
32,THE FIRST SUNDAY IN PASSIONTIDE," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion."
33,THE SECOND SUNDAY IN PASSIONTIDE (PALM SUNDAY)," Lord, graciously hear us. Sanctify all Bishops of the Church. Give them the grace to be true shepherds of their flocks, especially our own Bishop N. |  Lord, graciously hear us. May we be given the grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity."
34,EASTER SUNDAY," Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage, and the enterprises we undertake."
35,LOW SUNDAY," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly union. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
36,THE SECOND SUNDAY AFTER EASTER," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them."
37,THE THIRD SUNDAY AFTER EASTER," Lord, graciously hear us. Help us to realize that we are stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. May we be given grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues."
38,THE FOURTH SUNDAY AFTER EASTER," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit, and teach us how to know and do thy holy will."
39,THE FIFTH SUNDAY AFTER EASTER," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Console all who mourn, and bring them comfort."
40,THE ASCENSION OF OUR LORD," Lord, graciously hear us. Guide the minds of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Grant spiritual refreshment to us all assembled here with thee, that the Eucharist may be for us a pledge of eternal glory."
41,SUNDAY AFTER THE ASCENSION," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Reward all our benefactors, both living and dead, with the gift of eternal happiness."
42,PENTECOST OR WHIT SUNDAY," Lord, graciously hear us. Bless our sovereign N., and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion."
43,TRINITY SUNDAY," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Guide those who govern our country that they may rule with wisdom and justice. |  Lord, graciously hear us. rant us the grace to pray according to thy will for our enemies and all who persecute us."
44,CORPUS CHRISTI," Lord, graciously hear us. Grant us the grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity."
45,THE SECOND SUNDAY AFTER PENTECOST," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly union. |  Lord, graciously hear us. Heal thy servants, Lord, who are sick and put their trust in thee. Send them help. Lord, and comfort. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
46,THE MOST SACRED HEART OF JESUS," Lord, graciously hear us. Give all nations true peace and understanding. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake."
47,THE THIRD SUNDAY AFTER PENTECOST,"P» Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, all who suffer persecution. Strengthen, and uphold them. |  Lord, graciously hear us. Give us strength to bear our crosses in union with Christ our Lord."
48,THE FOURTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the .j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Give us strength to bear our crosses in union with Christ our Lord."
49,THE FIFTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. May we be given grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
50,THE SIXTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will."
51,THE SEVENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, Patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake."
52,THE EIGHTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Grant spiritual refreshment to us all assembled here with thee, that the Eucharist may be for us a pledge of eternal glory."
53,THE NINTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them."
54,THE TENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and to do thy holy will."
55,THE ELEVENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Send us fair weather and rain in due season, that all may enjoy the fruits of the earth. |  Lord, graciously hear us. Console all those who mourn, and bring them comfort. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage and the enterprises we undertake."
56,THE TWELFTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Guide the minds of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them and us from all harm. |  Lord graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and to do thy holy will."
57,THE THIRTEENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they l. may serve thee in true brotherly union. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
58,THE FOURTEENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them and us from all harm. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will."
59,THE FIFTEENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues."
60,THE SIXTEENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Enable all those institutions and individuals who strive for peace to obtain it. |  Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Stir our consciences to help the hungry and the poor throughout the world."
61,THE SEVENTEENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
62,THE EIGHTEENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. ive peace and harmony in our homes, and a deep love of our holy religion."
63,THE NINETEENTH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Send us fair weather and rain in due season, that all may enjoy the fruits of the earth. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Grant spiritual refreshment to all assembled here with thee, that the Eucharist may be for us a pledge of eternal glory."
64,THE TWENTIETH SUNDAY AFTER PENTECOST," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit; enrich them with thy heavenly grace; prosper them in all happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. May we be given the grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives that they are followers of thy Son, Our Lord Jesus Christ."
65,THE TWENTY-FIRST SUNDAY AFTER PENTECOST," Lord, graciously hear us. Be mindful of those who died fighting for their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Stir our conscience to help the hungry and the poor throughout the world. |  Lord, graciously hear us. Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to Christ our Lord and our unity in him."
66,THE TWENTY-SECOND SUNDAY AFTER PENTECOST," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues."
67,THE TWENTY-THIRD SUNDAY AFTER PENTECOST," Lord, graciously hear us. Prosper, we pray thee, the industries of this land and all who work in them. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives that they are followers of thy Son, our Lord Jesus Christ."
68,THE TWENTY-FOURTH AND LAST SUNDAY AFTER PENTECOST," Lord, graciously hear us. Enable all those institutions and individuals who strive for peace to obtain it. |  Lord, graciously hear us. Console all who mourn, and bring them comfort. |  Lord, graciously hear us. Grant us the grace of a happy death, in peace and charity."
69,SS. PETER AND PAUL," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to Christ our Lord and our unity in him. |  Lord, graciously hear us. Stir our consciences to help the hungry and the poor throughout the world."
70,THE KINGSHIP OF OUR LORD JESUS CHRIST," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen, and uphold them. |  Lord, graciously hear us. Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to Christ our Lord and our unity in him."
71,THE ASSUMPTION OF OUR LADY," Lord, graciously hear us. Be mindful of those who have died in fighting for their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake."
72,ALL SAINTS," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity."
73,ALL SOULS’ DAY," Lord, graciously hear us. Be mindful of those who have died in fighting for their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity."
74,FEASTS OF OUR LADY," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families fo this place, that, following the example of Nazareth, they may show forth the Christian virtues. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) 65"
78,THE DEDICATION OF," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit; enrich them with thy heavenly grace; prosper them with all happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Console all those who mourn, and bring them comfort. |  Lord, graciously hear us. Reward all our benefactors, both living and dead, with the gift of eternal happiness."
79,FEASTS OF SAINTS," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues."
80,AT A CONFIRMATION. I," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Heal thy servants, Lord, who are sick and put their trust in thee. Send them help, Lord, and comfort. |  Lord, graciously hear us. uide us with the power of the Holy Spirit and teach us to know and do thy holy will."
81,AT A CONFIRMATION. II," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. May we be given the grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Grant that those who today receive thy sacraments may derive from them plentiful grace."
82,ANY SAINT’S DAY," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
83,A NUPTIAL MASS. I," Lord, graciously hear us. Help us to realize that we are stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion."
88,BAPTISMS," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
89,BENEDICTION (HOLY HOUR)," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity."
90,BIBLE VIGILS," Lord, graciously hear us. Bless all those who work for peace that they may achieve this holy purpose. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will."
91,CENOTAPH SERVICES," Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them from all harm. | p. Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Give us strength to bear our crosses in union with Christ Our Lord."
92,EDUCATION DAYS," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake."
93,FIRST COMMUNIONS," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Stir our conscience to help the hungry and the poor throughout the world."
94,FUNERALS," Lord, graciously hear us. Be mindful of those who have died defending their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Console all who mourn, and bring them comfort. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity."
95,MAY PROCESSIONS," Lord, graciously hear us. Bless our Sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues."
96,MISSIONS," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the afflicted, and St Joseph, patron of the dying, intercede for them at this moment."
97,ORDINATIONS," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Ioolc with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives their following of thee."
98,PATRONAL FEASTS," Lord, graciously hear us. Help us to realise that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake."
99,PILGRIMAGES," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
