source,day_label,lect_num,type,reference,csv_incipit,derived_incipit,db_first_verse,rendered_first_line,problems
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,first_reading,: 740(9); responsorial psalm: 739(9); gospel: 742(23).,On the day of the dedication of the Temple,,[PARSE_ERROR],Reading text unavailable for : 740(9); responsorial psalm: 739(9); gospel: 742(23)..,text_unavailable
standard,Christmas/Octave/Saturday/I/II,302,gospel,Matt 10.7-13,Jesus sent the twelve out with the following instructions,"At that time,","And preach as you go, saying, 'The kingdom of heaven is at hand.'",Reading text unavailable for Matt 10.7-13.,text_unavailable
standard,Christmas/Christmas/Christmas Vigil/ABC,,first_reading,Isa 62:1-5,FOR Zion's sake I will not be silent,Thus says the LORD:,"For Zion's sake I will not keep silent, and for Jerusalem's sake I will not rest, until her vindication goes forth as brightness, and her salvation as a burning torch.","1. For Zion's sake I will not keep silent, and for Jerusalem's sake I will not rest, until her vindication goes forth as brightness, and her salvation as a burning torch.",raw_verse_conjunction:for
standard,Christmas/Christmas/Christmas Vigil/ABC,,gospel,Matt 1:1-25 or Matt 1:18-25,THE book of the genealogy of Jesus Christ,"At that time,",[PARSE_ERROR],Reading text unavailable for Matt 1:1-25 or Matt 1:18-25.,text_unavailable
standard,Christmas/Christmas/Christmas Midnight/ABC,,first_reading,Isa 9:1-6,THE people who walked in darkness,Thus says the LORD:,[VERSE_NOT_FOUND],"3. THE people who walked:: Thou hast multiplied the nation, thou hast increased its joy; they rejoice before thee as with joy at the harvest, as men rejoice when they divide the spoil.",verse_number_in_rendered
standard,Christmas/Christmas/Christmas Dawn/ABC,,first_reading,Isa 62:11-12,"SEE, the LORD proclaims",Thus says the LORD:,"Behold, the LORD has proclaimed to the end of the earth: Say to the daughter of Zion, ""Behold, your salvation comes; behold, his reward is with him, and his recompense before him.""","11. SEE, the LORD proclaims: Behold, the LORD has proclaimed to the end of the earth: Say to the daughter of Zion, ""Behold, your salvation comes; behold, his reward is with him, and his recompense before him.""",verse_number_in_rendered
standard,Christmas/Christmas/Christmas Dawn/ABC,,gospel,Luke 2:15-20,WHEN the angels went away from them to heaven,"In those days,","When the angels went away from them into heaven, the shepherds said to one another, ""Let us go over to Bethlehem and see this thing that has happened, which the Lord has made known to us.""","15. When the angels went away from them into heaven, the shepherds said to one another, ""Let us go over to Bethlehem and see this thing that has happened, which the Lord has made known to us.""",verse_number_in_rendered
standard,Christmas/Christmas/Christmas Day/ABC,,first_reading,Isa 52:7-10,HOW beautiful upon the mountains,Thus says the LORD:,"How beautiful upon the mountains are the feet of him who brings good tidings, who publishes peace, who brings good tidings of good, who publishes salvation, who says to Zion, ""Your God reigns.""","7. How beautiful upon the mountains are the feet of him who brings good tidings, who publishes peace, who brings good tidings of good, who publishes salvation, who says to Zion, ""Your God reigns.""",verse_number_in_rendered
standard,Christmas/Christmas/Christmas Day/ABC,,gospel,"John 1:1-18 or 1:1-5, 9-14",IN the beginning was the Word and the Word was with God,In the beginning was the Word:,The true light that enlightens every man was coming into the world.,9. IN the beginning was:: The true light that enlightens every man was coming into the world.,verse_number_in_rendered
standard,Ordinary Time/1/Monday/I,305,first_reading,Hebrews 1.1-6,Long ago God spoke to our ancestors,,"In many and various ways God spoke of old to our fathers by the prophets,",Reading text unavailable for Hebrews 1.1-6.,text_unavailable
standard,Ordinary Time/1/Monday/I,305,gospel,Mark 1.14-20,Now after John was arrested,"At that time,","Now after John was arrested, Jesus came into Galilee, preaching the gospel of God,",Reading text unavailable for Mark 1.14-20.,text_unavailable
standard,Ordinary Time/1/Monday/I,305,first_reading,Hebrews 1.1-6,Long ago God spoke to our ancestors,,"In many and various ways God spoke of old to our fathers by the prophets,",Reading text unavailable for Hebrews 1.1-6.,text_unavailable
standard,Ordinary Time/1/Monday/I,305,gospel,Mark 1.14-20,Now after John was arrested,"At that time,","Now after John was arrested, Jesus came into Galilee, preaching the gospel of God,",Reading text unavailable for Mark 1.14-20.,text_unavailable
standard,Ordinary Time/1/Tuesday/I,306,first_reading,Hebrews 2.5-12,God did not subject the coming world,,"For it was not to angels that God subjected the world to come, of which we are speaking.",Reading text unavailable for Hebrews 2.5-12.,text_unavailable
standard,Ordinary Time/1/Tuesday/I,306,gospel,Mark 1.21-28,Jesus and the disciples went to Capernaum,"At that time,",And they went into Caperna-um; and immediately on the sabbath he entered the synagogue and taught.,Reading text unavailable for Mark 1.21-28.,text_unavailable
