season,week,day,feast,rank,color,month,day_of_month,title,collect,secret,communion,postcommunion,source_file
Christmas,1,Sunday,,,,,,Dominica Infra Octavam Nativitatis,"O Almighty and eternal God, direct our actions in conformity with Your will, that in the name of Your beloved Son we may be worthy to do good works in abundance.","Grant, we beseech You, almighty God, that the gift offered in the sight of Your majesty may obtain for us the grace of reverent devotion and secure us eternal happiness.","!Matt 2:20
Take the Child and His mother, and go into the land of Israel, for those who sought the Child’s life are dead.","By the working of this sacrament, O Lord, may our sins be erased and our just desires fulfilled.",Nat1-0.txt
Christmas,2,Sunday,,,,,,Sanctissimi Nominis Jesu,"O God, You Who appointed Your only-begotten Son to be the Saviour of the human race, and commanded that He be called Jesus, mercifully grant that we may enjoy in heaven the vision of Him Whose holy Name we venerate on earth.","May Your blessing, O most merciful God, which makes all creation flourish, sanctify this our sacrifice, which we offer You to the glory of the Name of Your Son, our Lord Jesus Christ, and may it be pleasing to Your majesty as an act of praise and be profitable to us for our salvation.","!Ps 85:9-10
All the nations You have made shall come and worship You, O Lord, and glorify Your Name. For You are great, and do wondrous deeds; You alone are God. Alleluia.","Almighty, eternal God, You Who have created and redeemed us, graciously look upon our needs, and deign to receive with kind and favorable countenance the sacrifice of the Saving Victim, which we have offered to Your majesty, in honor of the Name of Your Son, our Lord Jesus Christ, that, Your grace being poured out upon us, we may have the joy of seeing our names written in heaven, under the glorious Name of Jesus, the sign of eternal predestination.",Nat2-0.txt
Christmas,30,,,,,,,Sixth day of the Octave of Christmas,"Grant, we beseech You, almighty God, that the new birth, in the flesh, of Your only-begotten Son may deliver us whom the bondage of old keeps under the yoke of sin.",,,,Nat30.txt
Easter,0,Sunday,,,,,,Dominica Resurrectionis,"O God, who, on this day, through Thine only-begotten Son, hast conquered death, and thrown open to us the gate of everlasting life, give effect by thine aid to our desires, which Thou dost anticipate and inspire","We beseech Thee, O Lord, accept the prayers of Thy people together with the Sacrifice they offer, that what has been begun by the Paschal Mysteries, by Thy working may profit us unto eternal healing.","!1 Cor 5:7-8
Christ our Pasch is immolated, alleluia: therefore let us feast with the unleavened bread of sincerity and truth, alleluia, alleluia, alleluia.","Pour forth upon us, O Lord, the spirit of Thy love, that, by Thy loving kindness, Thou mayest make to be of one mind those whom Thou hast satisfied with the Paschal Sacraments.",Pasc0-0.txt
Easter,0,Monday,,,,,,Die II infra octavam Paschae,"O God, Who dost heal the sick world by the solemn gladness of the Passover, continue, we beseech thee, to pour forth thine heavenly gifts upon thy people, till the same shall bring them into perfect liberty, and finally avail them unto life everlasting.","Adept, O Lord we beseech thee, the prayers with the sacrifices of the people, and grant that what we have begun at these paschal mysteries, may with thy help be a remedy for life eternal.","!Luke 24:34
v. The Lord is risen indeed, and hath appeared to Simon.","Pour forth upon us, O Lord, the spirit of Thy love, that, by Thy loving kindness, Thou mayest make to be of one mind those whom Thou hast satisfied with the Paschal Sacraments.",Pasc0-1.txt
Easter,0,Tuesday,,,,,,Die III infra octavam Paschae,"O God, Who art ever multiplying the Children of thy Church, grant unto the same thy servants that they may lead the rest of their lives according to this beginning wherein Thou hast given them faith to receive the Sacrament of the New Birth.","Accept, O Lord, the prayers and the sacrifice of thy faithful; that by these services of pious devotion, we may come to heavenly glory.","!Col 3:1-2
v.  If you be risen with Christ, seek the things that are above; where Christ is sitting at the right hand of God: alleluia. Mind the things that are above, allelúja.","Grant, we beseech thee, Almighty God, that the grace of paschal sacrament which we have received may ever abide in our souls.",Pasc0-2.txt
Easter,0,Tuesday,,,,,,Die III infra octavam Paschae,"O God, Who art ever multiplying the Children of thy Church, grant unto the same thy servants that they may lead the rest of their lives according to this beginning wherein Thou hast given them faith to receive the Sacrament of the New Birth.","Accept, O Lord, the prayers and the sacrifice of thy faithful; that by these services of pious devotion, we may come to heavenly glory.","!Col 3:1-2
v.  If you be risen with Christ, seek the things that are above; where Christ is sitting at the right hand of God: alleluia. Mind the things that are above, allelúja.","Grant, we beseech thee, Almighty God, that the grace of paschal sacrament which we have received may ever abide in our souls.",Pasc0-2t.txt
Easter,0,Wednesday,,,,,,Die IV infra octavam Paschae,"O God, Who gladden us with the annual solemnity of the Lord's Resurrection, mercifully grant that by celebrating these temporal feasts, we may become worthy to attain eternal joys.","Amidst the joys of Easter, we offer unto thee, O Lord, the sacrifice wherewith thy Church is wonderfully fed and nourished.","!Rom 6:9
v. Christ rising again from the dead, dieth now no more, death shall no more have dominion over him, allelúja, allelúja.","O Lord, we beseech Thee, that we, reverently receiving thy Sacrament, may be cleansed from all our former defilement, and become a new creature in Thee.",Pasc0-3.txt
Easter,0,Wednesday,,,,,,Die IV infra octavam Paschae,"O God, Who dost every year fill us with holy gladness for the Again rising of the Lord, mercifully grant that these Feast-days which we are now keeping here in time, may be to us a mean whereby in the end we may worthily attain unto those pleasures which are at thy right hand for evermore.","Amidst the joys of Easter, we offer unto thee, O Lord, the sacrifice wherewith thy Church is wonderfully fed and nourished.","!Rom 6:9
v. Christ rising again from the dead, dieth now no more, death shall no more have dominion over him, allelúja, allelúja.","O Lord, we beseech Thee, that we, reverently receiving thy Sacrament, may be cleansed from all our former defilement, and became new creature.",Pasc0-3t.txt
Easter,0,Thursday,,,,,,Die V infra octavam Paschae,"O God, Who dost make all nations, how diverse soever they be, to become one family in giving of praise to thy Name, grant unto all them that are born again in the fountain of baptism to live ever in oneness of faith, and godliness of works.","Graciously receive, we beseech thee, O Lord, the offering of thy people, and grant that they who are renewed by baptism and the confession of thy name, may attain to everlasting happiness.","!1 Pet 2:9
v.  But you are a chosen generation, a kingly priesthood, a holy nation, a purchased people: that you may declare his virtues, who hath called you out of darkness into his marvellous light: allelúja.","O Lord, hear our prayers; that the holy channels of our redemption may obtain us help in this our present life, and secure us eternal joys.",Pasc0-4.txt
Easter,0,Thursday,,,,,,Die V infra octavam Paschae,"O God, Who dost make all nations, how diverse soever they be, to become one family in giving of praise to thy Name, grant unto all them that are born again in the fountain of baptism to live ever in oneness of faith, and godliness of works.","Graciously receive, we beseech thee, O Lord, the offering of thy people, and grant that they who are renewed by baptism and the confession of thy name, may attain to everlasting happiness.","!1 Pet 2:9
v.  But you are a chosen generation, a kingly priesthood, a holy nation, a purchased people: that you may declare his virtues, who hath called you out of darkness into his marvellous light: allelúja.","O Lord, hear our prayers; that the holy chanels of our redemption may obtain us help in this our present life, and secure us aeternal joys.",Pasc0-4t.txt
Easter,0,Friday,,,,,,Die VI infra octavam Paschae,"Almighty and eternal God, in the Easter sacrament thou instituted the covenant, whereby thou forgavest mankind; grant to our souls, that what we outwardly profess we may show forth in our deeds.","In thy forgiving mercy, O Lord we pray, accept the sacrifice which we offer, to atone for the sins of those who are born anew and to hasten the giving of thy heavenly help.","!Matt 28:18-19
v. All power is given to me in heaven and in earth. Going therefore, teach ye all nations; baptizing them in the name of the Father, and of the Son, and of the Holy Ghost, allelúja, allelúja.","O Lord, we beseech thee, behold thy people, and as thou hast decided to quicken them with the mysteries of eternity, mercifully free them from the sins committed in time.",Pasc0-5.txt
Easter,0,Friday,,,,,,Die VI infra octavam Paschae,"Almighty and eternal God, in the Easter sacrament thou instituted the covenant, whereby thou forgavest mankind; grant to our souls, that what we outwardly profess we may show forth in our deeds.","In thy forgiving mercy, O Lord we pray, accept the sacrifice which we offer, to atone for the sins of those who are born anew and to hasten the giving of thy heavenly help.","!Matt 28:18-19
v. All power is given to me in heaven and in earth. Going therefore, teach ye all nations; baptizing them in the name of the Father, and of the Son, and of the Holy Ghost, allelúja, allelúja.","O Lord, we beseech thee, behold thy people, and as thou hast decide to quicken them with the mysteries of eternity, mercifully free them from the sins committed in time.",Pasc0-5t.txt
Easter,0,Saturday,,,,,,Sabbato in Albis,"Grant, we beseech thee, O Almighty God, that we who have kept worshipfully the Easter solemnities, may at last worthily pass from keeping Feasts unto thee here to the everlasting jubilation hereafter.","Grant us O Lord, we beseech thee, ever to rejoyce in these Paschal mysteries, that, by the continual application of our redemption we may come to endless happiness.","!Gal 3:27
v.  For as many of you as have been baptized in Christ, have put on Christ, allelúja.","Invigorated by the gift of redemption, we beseech thee, O Lord, that by this means of eternal salvation, the true faith may prosper evermore.",Pasc0-6.txt
Easter,0,Saturday,,,,,,Sabbato in Albis,"Grant, we beseech thee, O Almighty God, that we who have kept worshipfully the Passover holidays, may at last worthily pass from keeping Feasts unto thee here to the everlasting jubilation hereafter.","Grant us O Lord, we beseech thee, ever to rejoyce in these Paschal mysteries, that, by the continual application of our redemption we may come to endless happiness.","!Gal 3:27
v.  For as many of you as have been baptized in Christ, have put on Christ, allelúja.","Invigorated by the gift of redemption, we beseech thee, O Lord, that by this means of eternal salvation, the true faith may prosper evermore.",Pasc0-6t.txt
Easter,1,Sunday,,,,,,Dominica in Albis in Octava Paschae,"Grant, we beseech Thee, almighty God, that we who have celebrated the Paschal Feast, may, by Thy bounty, retain its fruits in our daily habits and behavior.","Receive, we beseech Thee, O Lord, the gifts of Thine exultant Church: and to her whom Thou hast given cause for so great joy, grant the fruit of perpetual happiness.","!John 20:27
Put in thy hand, and know the place of the nails, alleluia; and be not faithless, but believing, alleluia, alleluia.","We beseech Thee, O Lord, our God, to make the most holy Mysteries which Thou hast given us as a defense of our renewal, a remedy for us now, and in the future.",Pasc1-0.txt
Easter,2,Sunday,,,,,,Dominica II Post Pascha,"O God, who, by the humility of Thy Son, didst lift up a fallen world, grant unending happiness to Thy faithful: that those whom Thou hast snatched from the perils of endless death, Thou mayest cause to rejoice in everlasting days.","May this holy offering, O Lord, always bring to us Thy healing blessing: that what it represents in a Mystery, it may accomplish with power.","!John 10:14
I am the good Shepherd, alleluia: and I know My sheep, and Mine know Me, allelúja, allelúja.","Grant unto us, we beseech Thee, almighty God, that having received the grace of a new life, we may ever glory in Thy gift.",Pasc2-0.txt
Easter,2,Wednesday,,,,,,Patrocinii St. Joseph Confessoris Sponsi B.M.V. confessoris,"God, Who in thine unspeakable foreknowledge didst choose thy blessed servant Joseph to be the husband of thine Own most holy Mother; mercifully grant that now that he is in heaven with thee, we who on earth do reverence him for our Defender, may worthily be holpen by the succour of his prayers to thee on our behalf;","Supported by the patronage of the spouse of thy most holy Mother, we beseech thy clemency, O Lord, that thou wouldst make our hearts despise all eartly things and love thee, the true God with perfect charity.","!Matt 1:16
v.  And Jacob begot Joseph the husband of Mary, of whom was born Jesus, who is called Christ, allelúja, allelúja.","Refreshed at the fount of divine blessing, we beseech thee, O Lord our God, that as thou dost gladden us by the protection of blessed Joseph, so by his merits and intercession thou woulds make us partakers of his heavenly glory.",Pasc2-3.txt
Easter,3,Sunday,,,,,,Dominica III Post Pascha,"Almighty God, Who showest to them that be in error the light of thy truth, to the intent that they may return into the way of righteousness grant unto all them that are admitted into the fellowship of Christ's Religion, that they may eschew those things that are contrary to their profession, and follow all such things as are agreeable to the same.","Confer on us, O Lord, by these mysteries the moderation of our earthly desires: and teach us to love the things of heaven.","!John 16:16
v.  A little while, and now you shall not see me; and again a little while, and you shall see me: because I go to the Father, allelúja, allelúja.","May the Sacraments which we have received, O Lord, we ask, refresh us with spiritual nourishment, and preserve as with bodily assistance.",Pasc3-0.txt
Easter,3,Sunday,,,,,,Dominica III Post Pascha,"Almighty God, Who showest to them that be in error the light of thy truth, to the intent that they may return into the way of righteousness, grant unto all them that are admitted into the fellowship of Christ's Religion, that they may eschew those things that are contrary to their profession, and follow all such things as are agreeable to the same.","Confer on us, O Lord, by these mysteries the moderation of our earthly desires: and teach us to love the things of heaven.","!John 16:16
v. A little while, and now you shall not see me; and again a little while, and you shall see me: because I go to the Father, allelúja, allelúja.","May the Sacraments which we have received, O Lord, we ask, refresh us with spiritual nourishment, and preserve us with bodily assistance.",Pasc3-0r.txt
Easter,3,Sunday,,,,,,Patrocinii St. Joseph Confessoris Sponsi B.M.V. confessoris,"God, Who in thine unspeakable foreknowledge didst choose thy blessed servant Joseph to be the husband of thine Own most holy Mother; mercifully grant that now that he is in heaven with thee, we who on earth do reverence him for our Defender, may worthily be holpen by the succour of his prayers to thee on our behalf;","Supported by the patronage of the spouse of thy most holy Mother, we beseech thy clemency, O Lord, that thou wouldst make our hearts despise all eartly things and love thee, the true God with perfect charity.","!Matt 1:16
v. And Jacob begot Joseph the husband of Mary, of whom was born Jesus, who is called Christ, allelúja, allelúja.","Refreshed at the fount of divine blessing, we beseech thee, O Lord our God, that as thou dost gladden us by the protection of blessed Joseph, so by his merits and intercession thou woulds make us partakers of his heavenly glory.",Pasc3-0t.txt
Easter,4,Sunday,,,,,,Dominica IV Post Pascha,"O God, of Whom it cometh that the minds of thy faithful people be all of one will, grant unto the same thy people that they may love the thing which Thou commandest, and desire that which Thou dost promise, that so, amid the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found.","O God, who by the august communion of this sacrifice hast make us partakers of one Sovereign Godhead, grant we beseech thee, that as we know thy truth, so we may follow it up by worthy behavior.","!John 16:8
v. And when he is come, he will convince the world of sin, and of justice, and of judgment, alleluia, alleluia.","Stand by us, O Lord, our God, that by what we have faithfully received we may be cleansed from our vices and rescued from all dangers.",Pasc4-0.txt
Easter,4,Sunday,,,,,,Dominica IV Post Pascha,"O God, of Whom it cometh that the minds of thy faithful people be all of one will, grant unto the same thy people that they may love the thing which Thou commandest, and desire that which Thou dost promise, that so, amid the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found.","O God, who by the august communion of this sacrifice hast make us partekers of one Sovereign Godhead, grant we beseech thee, that as we know thy truth, so we may follow it up by worthy behavior.","!John 16:8
v.  And when he is come, he will convince the world of sin, and of justice, and of judgment, allelúja, allelúja.","Stand by us, O Lord, our God, that by what we have faithfully received we may be cleansed from our vices and rescued from all dangers.",Pasc4-0t.txt
Easter,5,Sunday,,,,,,Dominica V Post Pascha,"O God, from Whom all good things do come, grant to us thy humble servants that by thy holy inspiration we may think those things that be good, and by thy merciful guiding may perform the same.","Receive, O Lord, the prayers of thy faithful with offerings of victims, that by these services of pious devotion we may pass to heavenly glory.","!Ps 95:2
v.  Sing ye to the Lord and bless his name: shew forth his salvation from day to day, allelúja, allelúja.","Grant us, O Lord, fed with the virtue of a heavenly table, to desire what is right, and to gain what we desire.",Pasc5-0.txt
Easter,5,Sunday,,,,,,Dominica V Post Pascha,"O God, from Whom all good things do come, grant to us thy humble servants that by thy holy inspiration we may think those things that be good, and by thy merciful guiding may perform the same.","Receive, O Lord, the prayers of thy faithful with offerings of victims, that by these services of pious devotion we may pass to heavenly glory.","!Ps 95:2
v.  Sing ye to the Lord and bless his name: shew forth his salvation from day to day, allelúja, allelúja.","Grant us, O Lord, fed with the virtute of a heavenly table, to desire what is right, and to gain what we desire.",Pasc5-0t.txt
Easter,5,Monday,,,,,,Feria Secunda in Rogationibus,"Grant, we beseech thee, O Almighty God, that we who in our tribulation are yet of good cheer because of thy loving-kindness, may find thee mighty to save from all dangers.","We beseech thee, O Lord, that these offerings may both loosen the bonds of our wickedness and obtain for us the gift of mercy.","!Luke 11:9-10
v. Ask, and it shall be given you: seek, and you shall find: knock, and it shall be opened to you. For every one that asketh, receiveth; and he that seeketh, findeth; and to him that knocketh, it shall be opened, allelúja.","Mercifully grant our prayers, we beseech thee, O Lord, that while we receive thy gifts in tribulation, we may be conforted, and so increase in thy love.",Pasc5-1.txt
Easter,5,Monday,,,,,,Feria Secunda in Rogationibus,"Grant, we beseech thee, O Almighty God, that we who in our tribulation are yet of good cheer because of thy loving-kindness, may find thee mighty to save from all dangers.","We beseech thee, O Lord, that these offerings may both loosen the bonds of our wickedness and obtain for us the gift of mercy.","!Luke 11:9-10
v. Ask, and it shall be given you: seek, and you shall find: knock, and it shall be opened to you. For every one that asketh, receiveth; and he that seeketh, findeth; and to him that knocketh, it shall be opened, allelúja.","Mercifully grant our prayers, we beseech thee, O Lord, that while we receive thy gifts in tribulation, we may be conforted, and so increase in thy love.",Pasc5-1t.txt
Easter,5,Wednesday,,,,,,Feria Quarta in Rogationibus in Vigilia Ascensionis,"O God, from Whom all good things come, grant, we beseech You, that by Your inspiration, we may think what is right and under Your guidance, accomplish it.","Accept, O Lord, the prayers and gifts of Your faithful people, that, through these rites of love and devotion we may pass to the glory of heaven.","!Ps. 95:2.
Sing to the Lord, alleluia; sing to the Lord; bless His name; announce His salvation day after day, alleluia, alleluia.","Grant, O Lord, that we who have been fed with the strengthening food of Your heavenly table, may desire what is right and obtain what we desire.",Pasc5-3.txt
Easter,5,Thursday,,,,,,In Ascensione Domini,"Grant, we beseech thee, Almighty God, that like as we do believe thine Only-Begotten Son our Saviour to have this day ascended into the heavens, so we may also in heart and mind thither ascend, and with Him continually dwell.","Receive, O Lord, the gifts which we offer for the glorious Ascension of thy Son, and mercifully grant that we may be delivered from present dangers and attain eternal life.","!Ps 67:33-34
v. Sing ye to the Lord, who mounteth above the heaven of heavens to the East, alleluia.","Grant us, we beseech thee, almighty and merciful God, that what we have taken and received in visible mysteries, may profit us by its invisible effects.",Pasc5-4.txt
Easter,6,Sunday,,,,,,Dominica infra Octavam Ascensionis,"Almighty and eternal God, give us a will ever dedicated to You, and a true heart to serve Your majesty.","May this pure sacrifice cleanse us, O Lord, and impart to our minds the strength of heavenly grace.","!John 17:12-13; 17:15
Father, while I was with them, I kept them whom You have given Me, alleluia; but now I am coming to You; I do not pray that You take them out of the world, but that You keep them from evil, alleluia, alleluia.","We who have been filled with heavenly gifts beseech You, O Lord, grant us to continue giving thanks to You.",Pasc6-0.txt
Easter,6,Saturday,,,,,,Sabbato in Vigilia Pentecostes,"Grant, we beseech You, almighty God, that the brightness of Your glory may shine upon us, and that the light of Your light may, through the enlightenment of the Holy Spirit, strengthen the minds of those who are reborn through Your grace.","Hallow, we beseech You, O Lord, the gifts we offer, and cleanse our minds through the enlightenment of the Holy Spirit.","!John 7:37-39.
On the last day of the feast, Jesus said, He who believes in Me, from within him there shall flow rivers of living water. He said this, however, of the Spirit, Whom they who believed in Him were to receive, alleluia, alleluia.","May the inpouring of the Holy Spirit cleanse our hearts, O Lord, and make them fertile through the dew He sprinkles upon them.",Pasc6-6r.txt
