id,season,week,day,occasion,response,petition_1,petition_2,petition_3,petition_4,petition_5,category_1,category_2,category_3,category_4,category_5,notes
11,Ordinary Time,5,,Second Sunday in Ordinary Time (Week 2),Lord hear our prayer.,For the Church that we may be united in Christ and bear witness to his love.,For peace among nations and for all who work to protect human life and dignity.,For those who are sick lonely or in any need that they may find comfort and aid.,For our worshipping community that we may support one another on the journey of faith.,For our beloved dead that they may rest in the peace of Christ.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
12,Ordinary Time,6,,Third Sunday in Ordinary Time (Week 3),Lord hear our prayer.,For the Church called to conversion that we may turn away from sin and be faithful to the Gospel.,For our nation and its leaders that they may uphold justice and the common good.,For those who are afflicted in body mind or spirit that they may find healing and hope.,For our parish family and all Christian families that we may live in faith and charity.,For the faithful departed that they may be raised to eternal life with Christ.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
13,Ordinary Time,7,,Fourth Sunday in Ordinary Time (Week 4),Lord hear our prayer.,For the Church entrusted with the Gospel that we may speak the truth in love.,For peace in our world and for leaders who seek wisdom and justice.,For those who are suffering for the poor and marginalized that they may know God's care.,For our community gathered here that we may grow in holiness and service.,For our beloved dead that they may enjoy the fullness of life in heaven.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
14,Ordinary Time,8,,Fifth Sunday in Ordinary Time (Week 5),Lord hear our prayer.,For the Church as salt of the earth and light of the world that we may bring hope to all.,For our nation and all nations that they may work for peace and human flourishing.,For those in darkness sickness or despair that they may be illumined by Christ's love.,For our parish that we may be a city set on a hill radiating God's goodness.,For our departed loved ones that they may shine like stars in the kingdom.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
15,Ordinary Time,9,,Sixth Sunday in Ordinary Time (Week 6),Lord hear our prayer.,For the Church called to perfection in love that we may fulfill God's law of charity.,For peace among nations and for the conversion of hearts from violence to love.,For those who struggle with illness poverty or any burden that they may be strengthened.,For our families and this worshipping community that we may love one another as Christ loves us.,For our faithful departed that they may be perfected in God's eternal love.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
16,Ordinary Time,10,,Seventh Sunday in Ordinary Time (Week 7),Lord hear our prayer.,For the Church called to holiness that we may love our enemies and pray for those who persecute us.,For peace and reconciliation in our world and for those who work for justice.,For all who suffer injustice persecution or hatred that they may find consolation in God.,For our community that we may be merciful as our heavenly Father is merciful.,For our beloved dead that they may receive God's mercy and forgiveness.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
17,Ordinary Time,11,,Eighth Sunday in Ordinary Time (Week 8),Lord hear our prayer.,For the Church that we may not be anxious but trust in God's fatherly care.,For our nation and world that we may use the earth's resources wisely and justly.,For the poor the hungry and all who lack necessities that their needs may be met.,For our parish community that we may seek first God's kingdom and his righteousness.,For our departed loved ones that they may be satisfied in God's eternal kingdom.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
18,Ordinary Time,12,,Ninth Sunday in Ordinary Time (Week 9),Lord hear our prayer.,For the Church built on Christ the solid rock that we may withstand every storm.,For peace in our world and for leaders who build on foundations of truth and justice.,For those whose lives are shaken by illness loss or trouble that they may find stability in God.,For our worshipping community that we may be a house built on faith and love.,For our faithful departed that they may dwell in God's house forever.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
19,Ordinary Time,13,,Tenth Sunday in Ordinary Time (Week 10),Lord hear our prayer.,For the Church sent to heal and raise up that we may bring Christ's compassion to the world.,For those who govern that they may care for the sick and vulnerable in society.,For all who are sick mourning or burdened that they may experience Christ's healing touch.,For our parish that we may be instruments of God's mercy in our community.,For our beloved dead that they may be raised up to eternal life.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
20,Ordinary Time,14,,Eleventh Sunday in Ordinary Time (Week 11),Lord hear our prayer.,For the Church as a people called to compassion that we may not judge but forgive.,For peace among peoples and the conversion of hearts from hard-heartedness to mercy.,For sinners and all who have strayed from God's ways that they may return to the Father's embrace.,For our community that we may welcome the lost and rejoice in every conversion.,For our departed loved ones who relied on God's mercy that they may know his forgiveness.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
21,Lent,1,,First Sunday of Lent,Lord hear our prayer.,For the Church in this holy season that we may be faithful to our baptismal promises.,For our nation and world that we may turn from sin and embrace the Gospel of peace.,For those preparing for the Easter sacraments and for all seeking reconciliation with God.,For those who suffer and for sinners that they may find mercy and healing.,For our faithful departed that purified they may enter into the joy of the Lord.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
22,Lent,2,,Second Sunday of Lent,Lord hear our prayer.,For the Church transfigured by Christ's glory that we may listen to his beloved Son.,For peace among nations and for those who work for justice and reconciliation.,For those undergoing trials or preparing for death that they may see God's glory.,For our parish community that we may be transformed by the grace of this season.,For our beloved dead that they may be transfigured in the light of Christ.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
23,Lent,3,,Third Sunday of Lent,Lord hear our prayer.,For the Church that we may repent and bear fruit worthy of the Gospel.,For our nation and its leaders that they may turn from injustice and seek the common good.,For those in spiritual or physical exile that they may return to the Father's house.,For our community that this Lent may be a time of true conversion and renewal.,For our departed loved ones that they may enter into the joy of God's kingdom.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
24,Lent,4,,Fourth Sunday of Lent (Laetare Sunday),Lord hear our prayer.,For the Church rejoicing in the Father's mercy that we may celebrate our salvation with joy.,For peace on earth and for all who work to overcome division and hatred.,For the poor the outcast and all who long for reconciliation that they may know God's love.,For our parish family that we may share in the joy of this holy season.,For our beloved dead that they may rejoice in the light of God's presence.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
25,Lent,5,,Fifth Sunday of Lent,Lord hear our prayer.,For the Church facing the mystery of death and life that we may believe in Christ's victory.,For our world and its leaders that they may respect the dignity of every human life.,For those approaching death and all who mourn that they may find hope in the Resurrection.,For our community that we may be united with Christ in his suffering and glory.,For our faithful departed that they may pass from death to eternal life.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
26,Easter,1,,Easter Sunday (Solemnity of the Resurrection),Lord hear our prayer.,For the Church triumphing in the Resurrection of Christ that we may be witnesses to the Risen Lord.,For peace among nations and the victory of life over death in every place.,For those newly baptized and all who have returned to the Church this Easter.,For the sick and suffering that they may share in the hope of Christ's rising.,For our beloved dead that they too may rise with Christ to newness of life.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
27,Easter,2,,Second Sunday of Easter (Divine Mercy Sunday),Lord hear our prayer.,For the Church extending Christ's mercy to the world that all may know God's forgiving love.,For peace among peoples and for the triumph of mercy over judgment.,For those in need of forgiveness the wounded and all who seek healing that they may find peace.,For our parish community that we may be merciful as Christ is merciful.,For our departed loved ones that they may receive God's mercy and eternal life.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
28,Easter,3,,Third Sunday of Easter,Lord hear our prayer.,For the Church proclaiming the risen Christ that we may recognize him in word and sacrament.,For our nation and world that we may be converted and turn to God with our whole hearts.,For those who are lost searching or experiencing brokenness that they may encounter the risen Lord.,For our worshipping community that our hearts may burn within us as we hear God's word.,For our faithful departed that they may feast at the table of the eternal kingdom.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
29,Easter,4,,Fourth Sunday of Easter (Good Shepherd Sunday),Lord hear our prayer.,For the Church guided by Christ the Good Shepherd that we may hear his voice and follow him.,For peace among nations and for shepherds in every vocation who serve their flocks.,For those who are lost lonely or wandering that the Good Shepherd may find and care for them.,For vocations to the priesthood and religious life and for our parish shepherds.,For our departed loved ones that the Good Shepherd may lead them to green pastures.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
30,Easter,5,,Fifth Sunday of Easter,Lord hear our prayer.,For the Church as branches of Christ the true vine that we may bear much fruit.,For our world and its leaders that we may be built up in justice and peace.,For those who are separated from the community or feel disconnected that they may be grafted into Christ.,For our parish that we may love one another as Christ has loved us.,For our faithful departed that they may be united with Christ and all the saints.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
31,Easter,6,,Sixth Sunday of Easter,Lord hear our prayer.,For the Church rejoicing in Christ's love that we may keep his commandments and remain in his love.,For peace among nations and for the gift of the Holy Spirit to guide all leaders.,For those who are troubled or afraid that the peace of Christ may calm their hearts.,For our community that we may be one as the Father and Son are one.,For our beloved dead that they may enjoy perfect peace in God's eternal dwelling.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
32,Easter,7,,Seventh Sunday of Easter (Ascension Sunday),Lord hear our prayer.,For the Church empowered by Christ who reigns at God's right hand that we may be bold witnesses.,For our nation and world that the glory of Christ may fill the earth.,For those who feel abandoned or orphaned that they may know Christ's abiding presence.,For our parish preparing for Pentecost that we may receive the Holy Spirit with open hearts.,For our faithful departed that they may reign with Christ in glory.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
33,Easter,8,,Pentecost Sunday,Lord hear our prayer.,For the Church made one by the Holy Spirit that we may speak the Gospel to every nation.,For peace and unity among all peoples that the Spirit may overcome division.,For the renewal of the face of the earth and the healing of all creation.,For our parish community that the fire of the Holy Spirit may enliven our mission.,For our departed loved ones that they may be perfected by the Spirit's gifts.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
34,Ordinary Time,15,,Trinity Sunday,Lord hear our prayer.,For the Church adoring the Blessed Trinity that we may worship Father Son and Holy Spirit.,For our nation and world that all creation may glorify the triune God.,For those who do not know God or have turned away that they may be drawn into communion.,For our community that we may be made in the image of the Trinity's communion of love.,For our faithful departed that they may behold the Trinity face to face.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
35,Ordinary Time,16,,Corpus Christi,Lord hear our prayer.,For the Church nourished by Christ's Body and Blood that we may become what we receive.,For peace among nations and for the conversion of hearts through the gift of the Eucharist.,For those who hunger for God or suffer in body or spirit that they may be fed and healed.,For our parish that united in one bread and one cup we may be one body in Christ.,For our beloved dead that nourished by the Bread of Life they may live forever.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
36,Ordinary Time,17,,Sacred Heart,Lord hear our prayer.,For the Church consoled by the Sacred Heart of Jesus that we may find rest in his love.,For our nation and world that the merciful heart of Christ may touch every human heart.,For the wounded the broken-hearted and all who suffer that they may be healed by Christ's love.,For our families and this parish that we may be consecrated to the Sacred Heart.,For our faithful departed that they may rest in the heart of Jesus who died for them.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
37,Ordinary Time,18,,Assumption of Mary,Lord hear our prayer.,For the Church glorifying the Mother of God assumed into heaven that we may share her hope.,For our nation and world that the promise of resurrection may transform our understanding of life and death.,For those who mourn the dying and all who face the mystery of death that they may be comforted.,For our parish community that we may follow Mary's example of faith and obedience.,For our beloved dead that they may be raised up with Mary to the glory of heaven.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
38,Ordinary Time,19,,All Saints,Lord hear our prayer.,For the Church triumphant and militant that we may be united with all the saints in glory.,For peace among nations and the triumph of holiness in every place.,For those struggling with sin or weakness that through the saints' intercession they may be strengthened.,For our community that we may be inspired by the saints' example to live holy lives.,For our faithful departed that they may be numbered among the saints in light.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
39,Ordinary Time,20,,All Souls (Commemoration of the Faithful Departed),Lord hear our prayer.,For the Church militant on earth praying for the Church suffering in purgatory that the dead may be purified.,For mercy upon the souls of all the faithful departed and the consolation of those who mourn.,For the forgiveness of sins and the gift of eternal life for our beloved dead.,For our own preparation for death that we may die in grace and hope.,For all who have died especially our family members and friends that they may see God face to face.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
40,Ordinary Time,21,,Christ the King,Lord hear our prayer.,For the Church proclaiming Christ as King of the universe that every knee may bend in his name.,For our nation and all nations that they may recognize Christ's sovereignty and serve his kingdom.,For the poor the imprisoned and all on the margins that in Christ they may find dignity and hope.,For our parish that we may be faithful subjects of Christ's kingdom of love and justice.,For our faithful departed that they may reign with Christ in his eternal kingdom.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
41,Special,,,Funeral Mass,Lord hear our prayer.,For our brother/sister N. who has gone before us marked with the sign of faith that he/she may share in Christ's resurrection.,For all who mourn that they may find consolation in the hope of the Resurrection and the communion of saints.,For the Church pilgrim on earth that we may be faithful to our baptism until death.,For our nation and world that the mystery of death may be transformed by faith in eternal life.,For all the faithful departed that they may see God face to face and praise him forever.,For the Church,For Those in Need,For the Local Community,For the Nations and Leaders,For the Faithful Departed,
42,Special,,,Wedding Mass,Lord hear our prayer.,For N. and N. beginning their married life that God may bless and strengthen their union.,For all married couples that their love may reflect Christ's faithful love for the Church.,For families and for vocations to marriage that husbands and wives may support one another in holiness.,For peace in homes and for the grace to forgive one another as Christ forgives us.,For our deceased relatives that they may intercede for the newly married and all families.,For the Church,For the Local Community,For Those in Need,For the Nations and Leaders,For the Faithful Departed,
43,Special,,,Baptism (Infant),Lord hear our prayer.,For N. being received into the Church through Baptism that he/she may be born again of water and the Spirit.,For his/her parents and godparents that they may faithfully fulfill their responsibility to guide the child in faith.,For the whole Church celebrating this sacrament that we may renew our own baptismal promises.,For vocations to the priesthood and religious life that the Church may always have ministers of the sacraments.,For our faithful departed that they may pray for the newly baptized and all children of God.,For the Church,For the Local Community,For the Church,For the Church,For the Faithful Departed,
44,Special,,,Baptism (Adult),Lord hear our prayer.,For N. being incorporated into Christ through Baptism that he/she may walk in newness of life.,For the elect and all preparing to receive the Easter sacraments that they may be confirmed in faith.,For our parish community that we may welcome the newly baptized with love and support their journey.,For the unity of all Christians that through one Baptism we may be one in Christ.,For our faithful departed that they may rejoice as new members are added to the communion of saints.,For the Church,For the Local Community,For the Local Community,For the Church,For the Faithful Departed,
45,Special,,,Confirmation,Lord hear our prayer.,For those being confirmed that they may be strengthened by the Holy Spirit to be witnesses to Christ.,For all the baptized that we may be courageous in living and sharing our faith.,For vocations to service in the Church that the Spirit may raise up ministers for God's people.,For our nation and world that the gifts of the Spirit may bring wisdom understanding counsel and courage.,For our faithful departed that perfected by the Spirit they may inherit the promises.,For the Church,For the Church,For the Church,For the Nations and Leaders,For the Faithful Departed,
46,Special,,,First Communion,Lord hear our prayer.,For these children receiving Christ for the first time that they may grow in love for the Eucharist.,For their families and all who prepared them that they may continue to nourish this faith.,For our parish community that the Eucharist may always be the center of our life and mission.,For peace among nations and for the conversion of hearts through the gift of Christ's Body and Blood.,For our faithful departed that nourished by the same heavenly food they may be one with us in Christ.,For the Church,For the Local Community,For the Local Community,For the Nations and Leaders,For the Faithful Departed,
47,Template,,,Generic Template,Lord hear our prayer.,For the holy Church of God that the Lord may guide and protect her we pray to the Lord.,For our nation and all in authority that they may govern with wisdom and justice we pray to the Lord.,For those who are sick suffering or in any need that they may find comfort and aid we pray to the Lord.,For our community gathered here and all our families that we may grow in faith and love we pray to the Lord.,For our beloved dead that they may rest in the peace of Christ we pray to the Lord.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,Fallback template when no specific prayer is available
